Drug name	Disease name
Celecoxib	Adenomatous Polyposis Of The Colon; Apc
Celecoxib	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Celecoxib	Fibromatosis, Gingival, With Progressive Deafness
Celecoxib	Insensitivity To Pain With Hyperplastic Myelinopathy
Celecoxib	Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer
Celecoxib	Osteoarthritis Susceptibility 1; Os1
Celecoxib	Osteoarthritis Susceptibility 2; Os2
Celecoxib	Osteoarthritis Susceptibility 3; Os3
Celecoxib	Polyposis Of Gastric Fundus Without Polyposis Coli
Celecoxib	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Chlordiazepoxide	Alcohol Dependence
Chlordiazepoxide	Enterocolitis
Chloroprocaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Chloroquine	Sarcoidosis, Susceptibility To, 1; Ss1
Chlorothiazide	Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis
Chlorothiazide	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Chlorothiazide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Chlorothiazide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Chlorothiazide	Hypertension, Diastolic, Resistance To
Chlorothiazide	Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis
Chlorothiazide	Renal Failure, Progressive, With Hypertension
Chlorpromazine	Hyperthermia, Cutaneous, With Headaches And Nausea
Chlorpromazine	Schizophrenia; Sczd
Chlorpropamide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Chlorpropamide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Chlorpropamide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Chlorpropamide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Chlorthalidone	Hypertension, Diastolic, Resistance To
Chlorthalidone	Renal Failure, Progressive, With Hypertension
Chlorzoxazone	Insensitivity To Pain With Hyperplastic Myelinopathy
Cholecalciferol	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Cholecalciferol	Inflammatory Bowel Disease 1; Ibd1
Cholecalciferol	Osteoporosis
Choline	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Choline	Insensitivity To Pain With Hyperplastic Myelinopathy
Choline	Osteoarthritis Susceptibility 1; Os1
Choline	Osteoarthritis Susceptibility 2; Os2
Choline	Osteoarthritis Susceptibility 3; Os3
Choline	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Ciclesonide	Asthma, Nasal Polyps, And Aspirin Intolerance
Ciclopirox	Candidiasis, Familial, 1; Candf1
Ciclopirox	Dermatosis Papulosa Nigra
Cimetidine	Gastroesophageal Reflux
Cimetidine	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Cimetidine	Prolactin Deficiency With Obesity And Enlarged Testes
Cimetidine	Tremor, Nystagmus, And Duodenal Ulcer
Ciprofloxacin	Asthma, Nasal Polyps, And Aspirin Intolerance
Ciprofloxacin	Hyperthermia, Cutaneous, With Headaches And Nausea
Ciprofloxacin	Inflammatory Bowel Disease 1; Ibd1
Ciprofloxacin	Onychotrichodysplasia And Neutropenia
Ciprofloxacin	Otitis Media, Susceptibility To
Cisapride	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Cisplatin	Bladder Cancer
Cisplatin	Esophageal Cancer
Cisplatin	Hodgkin Lymphoma
Cisplatin	Mismatch Repair Cancer Syndrome
Cisplatin	Myeloma, Multiple
Cisplatin	Neuroblastoma, Susceptibility To
Cisplatin	Osteogenic Sarcoma
Cisplatin	Small Cell Cancer Of The Lung
Cisplatin	Testicular Tumors
Citalopram	Alcohol Dependence
Citalopram	Camurati-Engelmann Disease
Citalopram	Encephalopathy With Intracranial Calcification, Growth Hormone Deficiency,
Citalopram	Encephalopathy, Acute Necrotizing 1, Susceptibility To; Ane1
Citalopram	Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,
Citalopram	Obsessive-Compulsive Disorder; Ocd
Citalopram	Panic Disorder 1; Pand1
Citalopram	Peripheral Neuropathy, Ataxia, Focal Necrotizing Encephalopathy, And
Citalopram	Spastic Paraplegia, Optic Atrophy, And Dementia
Citric Acid	Nephrolithiasis, X-Linked Recessive, With Renal Failure; Xrn
Citric Acid	Renal Tubular Acidosis, Distal, Autosomal Dominant
Citric Acid	Renal Tubular Acidosis, Proximal
Citric Acid	Renal Tubular Acidosis, Proximal, With Ocular Abnormalities And Mental
Cladribine	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Cladribine	Leukemia, Chronic Lymphocytic; Cll
Cladribine	Mismatch Repair Cancer Syndrome
Cladribine	Multiple Sclerosis, Susceptibility To; Ms
Cladribine	Onychotrichodysplasia And Neutropenia
Clidinium	Enterocolitis
Clidinium	Inflammatory Bowel Disease 11; Ibd11
Clobetasol	Dermatosis Papulosa Nigra
Clobetasol	Lichen Sclerosus Et Atrophicus; Lsa
Clofarabine	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Clofibrate	Hyperlipoproteinemia, Type V
Clomifene	Azoospermia Due To Perturbations Of Meiosis
Clomipramine	Obsessive-Compulsive Disorder; Ocd
Clomipramine	Panic Disorder 1; Pand1
Clonazepam	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
Clonazepam	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Clonazepam	Epilepsy, Myoclonic Juvenile; Ejm
Clonazepam	Myoclonic Epilepsy Of Unverricht And Lundborg
Clonazepam	Osteoarthritis Susceptibility 1; Os1
Clonazepam	Osteoarthritis Susceptibility 2; Os2
Clonazepam	Osteoarthritis Susceptibility 3; Os3
Clonazepam	Panic Disorder 1; Pand1
Clonazepam	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Clonazepam	Schizophrenia; Sczd
Clonazepam	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Clonidine	Atrial Fibrillation, Familial, 3; Atfb3
Clonidine	Attention Deficit-Hyperactivity Disorder; Adhd
Clonidine	Choreoathetosis/Spasticity, Episodic; Cse
Clonidine	Gilles De La Tourette Syndrome; Gts
Clonidine	Hyperhidrosis Palmaris Et Plantaris
Clonidine	Hypertension, Diastolic, Resistance To
Clonidine	Insensitivity To Pain With Hyperplastic Myelinopathy
Clonidine	Pheochromocytoma
Clonidine	Renal Failure, Progressive, With Hypertension
Clonidine	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Clopidogrel	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Clopidogrel	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like
Clopidogrel	Stroke, Ischemic
Clotrimazole	Candidiasis, Familial, 1; Candf1
Clotrimazole	Candidiasis, Familial, 2; Candf2
Clozapine	Schizophrenia; Sczd
Cocaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Cocaine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Codeine	Hyperthermia, Cutaneous, With Headaches And Nausea
Codeine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Codeine	Osteoarthritis Susceptibility 2; Os2
Colchicine	Familial Mediterranean Fever; Fmf
Conjugated Estrogens	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Conjugated Estrogens	Breast Cancer
Conjugated Estrogens	Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic
Conjugated Estrogens	Premature Ovarian Failure 1; Pof1
Conjugated Estrogens	Prostate Cancer
Conjugated Estrogens	Prostate Cancer, Hereditary, 1; Hpc1
Conjugated Estrogens	Uterine Anomalies
Cromoglicate	Asthma, Nasal Polyps, And Aspirin Intolerance
Cromoglicate	Asthma, Susceptibility To
Cromoglicate	Inflammatory Bowel Disease 11; Ibd11
Cyanocobalamin	Pernicious Anemia
Cyclizine	Hyperthermia, Cutaneous, With Headaches And Nausea
Cyclobenzaprine	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Cyclobenzaprine	Choreoathetosis/Spasticity, Episodic; Cse
Cyclobenzaprine	Insensitivity To Pain With Hyperplastic Myelinopathy
Cyclobenzaprine	Migraine With Or Without Aura, Susceptibility To, 1
Cyclobenzaprine	Myositis
Cyclosporine	Myasthenia Gravis; Mg
Cyclosporine	Systemic Lupus Erythematosus; Sle
Cyproheptadine	Blepharospasm, Benign Essential
Cyproheptadine	Branchial Myoclonus With Spastic Paraparesis And Cerebellar Ataxia
Cyproheptadine	Cranial Nerves, Recurrent Paresis Of
Cyproheptadine	Dyskinesia, Familial, With Facial Myokymia
Cyproheptadine	Insect Stings, Hypersensitivity To
Cyproheptadine	Migraine With Or Without Aura, Susceptibility To, 1
Cyproheptadine	Migraine, Familial Typical, Susceptibility To, 2
Cyproheptadine	Schizophrenia; Sczd
Cyproheptadine	Spastic Paraparesis And Deafness
Cytarabine	Dohle Bodies And Leukemia
Cytarabine	Hodgkin Lymphoma
Cytarabine	Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer
Cytarabine	Leukemia, Acute Myeloid; Aml
Cytarabine	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Cytarabine	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Cytarabine	Mismatch Repair Cancer Syndrome
Cytarabine	Reticulum Cell Sarcoma
Dacarbazine	Hodgkin Lymphoma
Dacarbazine	Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2
Dacarbazine	Melanoma, Cutaneous Malignant; Cmm
Dacarbazine	Mismatch Repair Cancer Syndrome
Dacarbazine	Neuroblastoma, Susceptibility To
Dacarbazine	Rhabdomyosarcoma 2; Rms2
Danazol	Endometriosis, Susceptibility To, 1
Danazol	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Danazol	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Danazol	Spastic Paraplegia And Evans Syndrome
Dantrolene	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Dantrolene	Choreoathetosis/Spasticity, Episodic; Cse
Dantrolene	Contractures, Congenital, Torticollis, And Malignant Hyperthermia
Dantrolene	Hypermetabolism Due To Defect In Mitochondria
Dantrolene	Malignant Hyperthermia, Susceptibility To, 1; Mhs1
Dantrolene	Malignant Hyperthermia, Susceptibility To, 3
Dantrolene	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like
Dantrolene	Multiple Sclerosis, Susceptibility To; Ms
Dantrolene	Spastic Paralysis, Infantile-Onset Ascending; Iahsp
Dantrolene	Stroke, Ischemic
Dasatinib	Dohle Bodies And Leukemia
Dasatinib	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Dasatinib	Mismatch Repair Cancer Syndrome
Daunorubicin	Dohle Bodies And Leukemia
Daunorubicin	Kaposi Sarcoma
Daunorubicin	Leukemia, Acute Myeloid; Aml
Daunorubicin	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Daunorubicin	Mismatch Repair Cancer Syndrome
Decitabine	Miller-Dieker Lissencephaly Syndrome; Mdls
Decitabine	Portal Vein, Cavernous Transformation Of
Desflurane	Hypertension, Diastolic, Resistance To
