drugid,name
DB01064,"3,4-Dihydroxy-alpha-[(isopropylamino)methyl]benzyl alcohol"
DB01064,alpha-(Isopropylaminomethyl)protocatechuyl alcohol
DB01064,Isoprenalina
DB01064,Isoprenaline
DB01064,Isoprenalinum
DB01064,Isopropyl noradrenaline
DB01064,Isoproterenol
DB01064,N-Isopropyl-beta-dihydroxyphenyl-beta-hydroxyethylamine
DB01064,N-isopropyl-β-dihydroxyphenyl-β-hydroxyethylamine
DB01064,N-Isopropylnoradrenaline
DB01064,N-Isopropylnorepinephrine
DB01064,α-(isopropylaminomethyl)protocatechuyl alcohol
DB00302,Acide tranexamique
DB00302,Acido tranexamico
DB00302,Acidum tranexamicum
DB00302,Cyklokapron
DB00302,Tranexamsaeure
DB00302,Tranexmic acid
DB00302,Tranhexamic acid
DB00302,Trans AMCHA
DB00302,trans-4-(Aminomethyl)cyclohexanecarboxylic acid
DB00302,trans-4-aminomethylcyclohexane-1-carboxylic acid
DB00302,trans-Amcha
DB00302,trans-Tranexamic acid
DB01202,e Keppra
DB01202,Keppra
DB01202,Levetiracetam
DB01202,Levetiracetamum
DB01202,Levitiracetam
DB01400,(m-Hydroxyphenyl)trimethylammonium dimethylcarbamate
DB01400,"3-Trimethylammoniumphenyl N,N-dimethylcarbamate"
DB01400,Eustigmin
DB01400,Eustigmine
DB01400,m-Trimethylammoniumphenyldimethylcarbamate
DB00334,"2-methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine"
DB00334,Olanzapin
DB00334,Olanzapina
DB00334,Olanzapine
DB00334,Olanzapinum
DB00334,Zyprexa
DB00374,"(1R,2R,3aS,9aS)-[[2,3,3a,4,9,9a-hexahydro-2-hydroxy- 1-[(3S)-3-hydroxyoctyl]-1H-benz[f]inden-5-yl] oxy]acetic acid"
DB00374,"[[(1R,2R,3aS,9aS)-2-Hydroxy-1-[(3S)-3-hydroxyoctyl]-2,3,3a,4,9,9a-hexahydro-1H-cyclopenta[b]naphtalen-5-yl]oxy]acetic acid"
DB00374,Treprostinil
DB00374,Treprostinilo
DB00374,Treprostinilum
DB00374,Uniprost
DB00776,"10,11-Dihydro-10-oxo-5H-dibenz(b,F)azepine-5-carboxamide"
DB00776,OCBZ
DB00776,Oxcarbamazepine
DB00776,Oxcarbazepina
DB00776,Oxcarbazepine
DB00776,Oxcarbazepinum
DB00906,Gabitril
DB00906,Tiagabina
DB00906,Tiagabinum
DB00631,"(2R,3R,4S,5R)-5-(6-amino-2-Chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol"
DB00631,2-chloro-9-(2-Deoxy-2-fluoro-beta-D-arabinofuranosyl)adenine
DB00631,2-chloro-9-(2'-Deoxy-2'-fluoro-beta-D-arabinofuranosyl)adenine
DB00631,CAFdA
DB00631,CL-F-Ara-a
DB00631,Clofarabin
DB00631,Clofarabina
DB00631,Clofarabine
DB00631,Clofarabinum
DB00631,Clofarex
DB00631,Clolar
DB00286,"17-Oxoestra-1,3,5(10)-trien-3-yl sodium sulfate"
DB00286,Conestoral
DB00286,Estrogenic substances (conjugated)
DB00286,Estrogens
DB00286,"Estrogens, Conjugated"
DB00286,Estrone sodium sulfate
DB00286,Estrone sulfate sodium
DB00286,Estrone-3-sulfate sodium salt
DB00286,Evex
DB00286,Hyhorin
DB00286,Morestin
DB00286,Oestrone-3-sulphate sodium salt
DB00286,Premarin
DB00286,Sodium estrone 3-sulfate
DB01210,(-)-Bunolol
DB01210,"(S)-5-(3-((1,1-Dimethylethyl)amino)-2-hydroxypropoxy)-3,4-dihydro-1(2H)-naphthalenone"
DB01210,Levobunolol
DB01210,Levobunololum
DB01356,Li(+)
DB01356,Lithium cation
DB01356,Lithium ion
DB01356,"Lithium, ion"
DB01356,"Lithium, ion (li1+)"
DB01275,(1Z)-1(2H)-Phthalazinone hydrazone
DB01275,(2H)-Phthalazinone hydrazone
DB01275,1-Hydrazinophthalazine
DB01275,1-Phthalazinylhydrazine
DB01275,6-Hydralazine
DB01275,Hidralazina
DB01275,Hydralazin
DB01275,Hydralazinum
DB01275,Hydrallazine
DB01275,Hydrazinophthalazine
DB01275,Hydrazone 1(2H)-phthalazinone
DB01275,Hypophthalin
DB01275,Idralazina
DB01275,Phthalazin-1-ylhydrazine
DB00167,"(2S,3S)-2-Amino-3-methylpentanoic acid"
DB00167,2-Amino-3-methylvaleric acid
DB00167,alpha-amino-beta-methylvaleric acid
DB00167,I
DB00167,Ile
DB00167,Isoleucine
DB00167,L-Isoleucine
DB00167,α-amino-β-methylvaleric acid
DB00593,(+-)-2-Ethyl-2-methylsuccinimide
DB00593,(±)-2-ethyl-2-methylsuccinimide
DB00593,2-ethyl-2-methylsuccinimide
DB00593,2-Methyl-2-ethylsuccinimide
DB00593,"3-ethyl-3-methyl-2,5-pyrrolidinedione"
DB00593,3-Ethyl-3-methylsuccinimide
DB00593,"3-Methyl-3-ethylpyrrolidine-2,5-dione"
DB00593,3-Methyl-3-ethylsuccinimide
DB00593,Aethosuximide
DB00593,alpha-Ethyl-alpha-methylsuccinimide
DB00593,alpha-Methyl-alpha-ethylsuccinimide
DB00593,Atysmal
DB00593,Ethosuximid
DB00593,Ethosuximide
DB00593,Ethosuximidum
DB00593,Etosuximida
DB00593,gamma-Ethyl-gamma-methyl-succinimide
DB00593,gamma-Methyl-gamma-ethyl-succinimide
DB00593,Thilopemal
DB00593,γ-ethyl-γ-methyl-succinimide
DB00903,"(2,3-Dichloro-4-(2-methylene-1-oxobutyl)phenoxy)acetic acid"
DB00903,Acide etacrynique
DB00903,Acido etacrinico
DB00903,Acidum etacrynicum
DB00903,Crinuryl
DB00903,Edecril
DB00903,Edecrina
DB00903,Endecril
DB00903,Etacrinic acid
DB00903,Etacrynic acid
DB00903,Etakrinic acid
DB00903,Ethacryinic Acid
DB00903,Ethacrynate
DB00903,Ethacrynic acid
DB00903,Hidromedin
DB00903,Hydromedin
DB00903,Methylenebutyrylphenoxyacetic acid
DB00903,Mingit
DB00903,Otacril
DB00903,Reomax
DB00903,Taladren
DB00903,Uregit
DB01018,Estulic
DB01018,Guanfacina
DB01018,Guanfacinum
DB00262,BCNU
DB00262,Bicnu (tn)
DB00262,bis-chloroethylnitrosourea
DB00262,Bischloroethyl nitrosourea
DB00262,Carmustina
DB00262,Carmustine
DB00262,Carmustinum
DB00262,Gliadel
DB00262,"N,N'-Bis(2-chloroethyl)-N-nitrosourea"
DB01109,Calciparine
DB01109,Eparina
DB01109,Hep-lock
DB01109,Heparinate
DB01109,Heparinic acid
DB01109,Liquaemin
DB01109,Panheprin
DB01109,Unfractionated heparin
DB00630,(4-Amino-1-hydroxybutylidene)bisphosphonic acid
DB00630,Acide Alendronique
DB00630,Acido Alendronico
DB00630,Acidum Alendronicum
DB00630,Alendronate
DB00630,Alendronic acid
DB00692,2-(N-(m-Hydroxyphenyl)-P-toluidinomethyl)imidazoline
DB00692,Fentolamina
DB00692,Phentolamin
DB00692,Phentolamine
DB00692,Phentolamine mesylate
DB00692,Phentolaminum
DB00692,Regitina
DB00692,Regitine
DB00692,Rogitine
DB00692,Vesomax
DB00586,"[2-(2,6-Dichloroanilino)phenyl]acetic acid"
DB00586,"2-((2,6-Dichlorophenyl)amino)benzeneacetic acid"
DB00586,Diclofenac
DB00586,Diclofenac Acid
DB00586,Diclofenaco
DB00586,Diclofenacum
DB00586,ISV-205
DB00122,Bilineurine
DB00122,Choline
DB00122,Choline ion
DB00122,N-trimethylethanolamine
DB00122,"N,N,N-trimethylethanol-ammonium"
DB00122,trimethylethanolamine
DB00540,"10,11-dihydro-N-Methyl-5H-dibenzo[a,D]cycloheptene-delta(5,gamma)-propylamine"
DB00540,"3-(10,11-dihydro-5H-Dibenzo[a,D]cyclohepten-5-ylidene)-N-methyl-1-propanamine"
DB00540,Ateben
DB00540,Avantyl
DB00540,Aventyl
DB00540,Demethylamitriptyline
DB00540,Desmethylamitriptyline
DB00540,Noritren
DB00540,Nortriptyline
DB00540,Psychostyl
DB00540,Sensaval
DB01005,Carbamohydroxamic Acid
DB01005,Carbamohydroximic Acid
DB01005,Carbamoyl Oxime
DB01005,Carbamyl Hydroxamate
DB01005,Hidroxicarbamida
DB01005,Hydrea
DB01005,Hydroxycarbamid
DB01005,Hydroxycarbamide
DB01005,Hydroxycarbamidum
DB01005,Hydroxyharnstoff
DB01005,Hydroxyurea
DB01005,N-Carbamoylhydroxylamine
DB01005,N-Hydroxyurea
DB01005,Oxyurea
DB00773,(-)-Etoposide
DB00773,4-Demethylepipodophyllotoxin beta-D-ethylideneglucoside
DB00773,"4'-Demethylepipodophyllotoxin 9-(4,6-O-(R)-ethylidene-beta-D-glucopyranoside)"
DB00773,"9-((4,6-O-Ethylidine-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,4-dimethyloxyphenyl)furo(3',4'':6,7)naptho-(2,3-D)-1,3-dioxol-6(5ah)-one"
DB00773,EPE
DB00773,EPEG
DB00773,Epipodophyllotoxin
DB00773,Eposin
DB00773,Etopophos
DB00773,Etoposid
DB00773,Etoposide
DB00773,Etoposido
DB00773,Etoposidum
DB00773,Lastet
DB00773,Toposar
DB00773,trans-Etoposide
DB00773,Vepesid
DB00773,VP-16
DB01128,Casodex
DB01162,"1-(4-Amino-6,7-dimethoxy-2-quinazolinyl)-4-((tetrahydro-2-furanyl)carbonyl)piperazine"
DB01162,Terazosin
DB01162,Terazosina
DB01162,Terazosine
DB01162,Terazosinum
DB00549,4-(5-Cyclopentyloxycarbonylamino-1-methyl-1H-indol-3-ylmethyl)-3-methoxy-N-O-tolylsulfonylbenzamide
DB00549,Accolate
DB00549,Cyclopentyl 3-(2-methoxy-4-((O-tolylsulfonyl)carbamoyl)benzyl)-1-methylindole-5-carbamate
DB00549,"ICI-204,219"
DB01185,"11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-4-androster-3-one"
DB01185,17alpha-Methyl-9alpha-fluoro-11beta-hydroxytesterone
DB01185,17α-Methyl-9α-fluoro-11β-hydroxytesterone
DB01185,"9-Fluoro-11beta,17beta-dihydroxy-17-methylandrost-4-en-3-one"
DB01185,9alpha-Fluoro-11beta-hydroxy-17-methyltestosterone
DB01185,Fluoximesterona
DB01185,Fluoxymesteronum
DB01185,"Testosterone, 9-fluoro-11beta-hydroxy-17-methyl-"
DB01019,(2-Hydroxypropyl)trimethylammonium carbamate
DB01019,"2-(Carbamoyloxy)-N,N,N-trimethylpropan-1-aminium"
DB01019,2-Carbamoyloxypropyl-trimethylazanium
DB01019,Amidopropyldimethylbetaine
DB01019,Bethanechol
DB01019,Carbamoyl-beta-methylcholine
DB01019,carbamoyl-β-methylcholine
DB01019,Carbamyl-beta-methylcholine
DB01019,carbamyl-β-methylcholine
DB00307,"4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid"
DB00307,"4-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid"
DB00307,Bexaroten
DB00307,Bexarotène
DB00307,Bexarotene
DB00307,Bexaroteno
DB00307,Bexarotenum
DB00307,"P-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid"
DB00307,"p-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl]benzoic acid"
DB00307,Targretyn
DB00307,Targrexin
DB00945,2-(ACETYLOXY)benzoic acid
DB00945,2-Acetoxybenzenecarboxylic acid
DB00945,2-Acetoxybenzoic acid
DB00945,Acetylsalicylate
DB00945,Acetylsalicylic acid
DB00945,Acetylsalicylsaeure
DB00945,Acide 2-(acetyloxy)benzoique
DB00945,Acide acétylsalicylique
DB00945,ácido acetilsalicílico
DB00945,Acidum acetylsalicylicum
DB00945,ASA
DB00945,Aspirin
DB00945,Azetylsalizylsaeure
DB00945,Azetylsalizylsäure
DB00945,Easprin
DB00945,o-acetoxybenzoic acid
DB00945,O-acetylsalicylic acid
DB00945,o-carboxyphenyl acetate
DB00945,Polopiryna
DB00945,Salicylic acid acetate
DB01033,"1,7-Dihydro-6H-purine-6-thione"
DB01033,3H-Purine-6-thiol
DB01033,6 MP
DB01033,6-Mercaptopurine
DB01033,6-MP
DB01033,6-Thiohypoxanthine
DB01033,6-Thioxopurine
DB01033,Mercapurin
DB00401,"isobutyl methyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate"
DB00401,Nisoldipin
DB00401,Nisoldipina
DB00401,Nisoldipine
DB00401,Nisoldipino
DB00401,Nisoldipinum
DB00401,Sular
DB00861,"2-(Hydroxy)-5-(2,4-difluorophenyl)benzoic acid"
DB00861,"2',4'-Difluoro-4-hydroxy-3-biphenylcarboxylic acid"
DB00861,"5-(2,4-Difluorophenyl)salicylic acid"
DB00861,Diflunisal
DB00861,Diflunisalum
DB00861,Dolobid
DB01359,(2S)-1-(tert-butylamino)-3-(2-cyclopentylphenoxy)propan-2-ol
DB01359,1-(tert-Butylamino)-3-(o-cyclopentylphenoxy)propan-2-ol
DB01359,"2-Propanol, 1-(2-cyclopentylphenoxy)-3-((1,1-dimethylethyl)amino)-, (S)-"
DB01359,HOE 893
DB01359,HOE 893D
DB01359,Levatol
DB01359,Penbutolol
DB01359,Penbutololum
DB00767,BZQ
DB00697,"5-Chloro-4-(2-imidazolin-2-ylamino)-2,1,3-benzothiadiazole"
DB00697,Tizanidin
DB00697,Tizanidina
DB00697,Tizanidine
DB00697,Tizanidinum
DB01234,1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone
DB01234,1-Dehydro-16α-methyl-9α-fluorohydrocortisone
DB01234,16alpha-Methyl-9alpha-fluoro-1-dehydrocortisol
DB01234,16α-Methyl-9α-fluoro-1-dehydrocortisol
DB01234,9alpha-Fluoro-16alpha-methylprednisolone
DB01234,9α-Fluoro-16α-methylprednisolone
DB01234,Decadron
DB01234,Dexametasona
DB01234,Dexamethasone
DB01234,Dexamethasonum
DB00284,Acarbosa
DB00284,Acarbose
DB00284,Acarbosum
DB00284,Glucobay
DB00284,Precose
DB01181,"3-(2-Chloroethyl)-2-((2-chloroethyl)amino)tetrahydro-2H-1,3,2-oxazaphosphorine 2-oxide"
DB01181,Ifosfamida
DB01181,Ifosfamidum
DB01181,Iphosphamide
DB01181,Isofosfamide
DB01181,Isophosphamide
DB01181,Isosfamide
DB00380,"(+)-(S)-4,4'-Propylenedi-2,6-piperazinedione"
DB00380,"(+)-1,2-Bis(3,5-dioxo-1-piperazinyl)propane"
DB00380,"4-[(2S)-2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione"
DB00380,Dexrazoxan
DB00380,Dexrazoxane
DB00380,Dexrazoxano
DB00380,Dexrazoxanum
DB00380,Dextrorazoxane
DB00195,1-(4-(2-(Cyclopropylmethoxy)ethyl)phenoxy)-3-((1-methylethyl)amino)-2-propanol
DB00195,1-(Isopropylamino)-3-[P-(cyclopropylmethoxyethyl)phenoxy]-2-propanol
DB00195,Betaxololum
DB01045,3-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin sv
DB01045,RFP
DB01045,Rifampicina
DB01045,Rifampicinum
DB01045,Rifampin
DB01136,(+-)-1-(Carbazol-4-yloxy)-3-((2-(O-methoxyphenoxy)ethyl)amino)-2-propanol
DB01136,Carvedilol
DB01136,Carvedilolum
DB01136,SKF 105517
DB00491,Glyset
DB00491,Miglitol
DB00491,Miglitolum
DB00806,Oxpentifylline
DB00806,Pentoxifilina
DB00806,Pentoxifyllin
DB00806,Pentoxifylline
DB00806,Pentoxifyllinum
DB00806,Pentoxil
DB00806,Trental
DB00608,Chloraquine
DB00608,Chlorochin
DB00608,Chlorochine
DB00608,Chloroquina
DB00608,Chloroquine
DB00608,Chloroquinium
DB00608,Chloroquinum
DB00608,Cloroquina
DB00608,"N(4)-(7-chloro-4-Quinolinyl)-N(1),N(1)-diethyl-1,4-pentanediamine"
DB00952,N-Methyl-2-(3-(1-methylpiperiden-4-yl)indole-5-yl)ethanesulfonamide
DB00952,N-Methyl-2-[3-(1-methyl-4-piperidyl)-1H-indol-5-yl]-ethanesulfonamide
DB00952,Naratriptanum
DB00289,(-)-Tomoxetine
DB00289,Tomoxetina
DB00289,Tomoxetine
DB00289,Tomoxetinum
DB00519,Mavik
DB00519,Trandolaprilum
DB00563,4-amino-10-methylfolic acid
DB00563,4-amino-N(10)-Methylpteroylglutamic acid
DB00563,Amethopterin
DB00563,Emtexate
DB00563,Ledertrexate
DB00563,Methotrexat
DB00563,Méthotrexate
DB00563,Methotrexatum
DB00563,Metotrexato
DB00563,MTX
DB00563,"N-[4-[[(2,4-Diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
DB00563,Rheumatrex
DB00563,Trexall
DB00695,2-Furfurylamino-4-chloro-5-sulfamoylbenzoic acid
DB00695,4-Chloro-5-sulfamoyl-N-furfuryl-anthranilic acid
DB00695,4-Chloro-N-(2-furylmethyl)-5-sulfamoylanthranilic acid
DB00695,4-Chloro-N-furfuryl-5-sulfamoylanthranilic acid
DB00695,Frusemide
DB00695,Furosemid
DB00695,Furosemida
DB00695,Furosemide
DB00695,Furosemidu
DB00695,Furosemidum
DB00695,Lasix (tn)
DB00557,Hidroxizina
DB00557,Hychotine
DB00557,Hydroksyzyny
DB00557,Hydroxine
DB00557,Hydroxizine
DB00557,Hydroxizinum
DB00557,Hydroxycine
DB00557,Hydroxyzin
DB00557,Hydroxyzine
DB00557,Hydroxyzinum
DB01110,"1-(2,4-Dichloro-beta-((2,4-dichlorobenzyl)oxy)phenethyl)imidazole"
DB01110,"1-[2-(2,4-Dichloro-benzyloxy)-2-(2,4-dichloro-phenyl)-ethyl]-1H-imidazole"
DB01110,Daktarin iv
DB01110,Miconazole
DB01110,Monistat iv (tn)
DB00747,(-)-hyoscine
DB00747,(-)-scopolamine
DB00747,"(1S,3S,5R,6R,7S)-6,7-Epoxytropan-3-yl (2S)-3-hydroxy-2-phenylpropanoate"
DB00747,"6-beta,7-beta-Epoxy-3-alpha-tropanyl S-(-)-tropate"
DB00747,"6,7-Epoxytropine tropate"
DB00747,alpha-(Hydroxymethyl)benzeneacetic acid 9-methyl-3-oxa-9-azatricyclo(3.3.1.0(2.4))non-7-yl ester
DB00747,Hyoscine
DB00747,scopine (-)-tropate
DB00747,scopine (−)-tropate
DB00747,Scopolamine hydrobromide
DB00165,"2-Methyl-3-hydroxy-4,5-dihydroxymethylpyridine"
DB00165,"3-hydroxy-4,5-bis(hydroxymethyl)-2-methylpyridine"
DB00165,"3-Hydroxy-4,5-dimethylol-alpha-picoline"
DB00165,"5-Hydroxy-6-methyl-3,4-pyridinedimethanol"
DB00165,Pyridoxine
DB00165,Pyridoxol
DB00165,Vitamin B6
DB00458,"10,11-dihydro-N,N-Dimethyl-5H-dibenz[b,F]azepine-5-propanamine"
DB00458,"3-(5H-DIBENZO[b,F]azepin-5-yl)-N,N-dimethylpropan-1-amine"
DB00458,"5-[3-(dimethylamino)Propyl]-10,11-dihydro-5H-dibenz[b,F]azepine"
DB00458,Antideprin
DB00458,Imipramin
DB00458,Imipramine
DB00458,Imipraminum
DB00458,Imizine
DB00458,Irmin
DB00458,Melipramine
DB00458,N-(gamma-Dimethylaminopropyl)iminodibenzyl
DB00458,N-(γ-dimethylaminopropyl)iminodibenzyl
DB00997,"(1S,3S)-3-Glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside"
DB00997,"(8S-cis)-10-((3-amino-2,3,6-Trideoxy-alpha-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione"
DB00997,14-hydroxydaunomycin
DB00997,14-hydroxydaunorubicine
DB00997,Adriamycin
DB00997,Doxorubicin
DB00997,Doxorubicine
DB00997,Doxorubicinum
DB00997,Hydroxydaunorubicin
DB01294,"2-Hydroxy-benzo[1,3,2]dioxabismin-4-one"
DB01294,Basic bismuth salicylate
DB01294,Bismuth oxide salicylate
DB01294,Bismuth oxysalicylate
DB01294,Bismuth subsalicylate
DB01294,pink bismuth
DB01294,Wismutsubsalicylat
DB00331,"1,1-Dimethylbiguanide"
DB00331,Dimethylbiguanid
DB00331,Haurymellin
DB00331,Metformin
DB00331,Metformina
DB00331,Metformine
DB00331,Metformine pamoate
DB00331,Metforminum
DB00331,"N,N-Dimethylimidodicarbonimidic diamide"
DB00190,"(-)-L-alpha-Hydrazino-3,4-dihydroxy-alpha-methylhydrocinnamic acid monohydrate"
DB00190,"(2S)-3-(3,4-Dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid hydrate"
DB00190,"(2S)-3-(3,4-Dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid monohydrate"
DB00190,"(AlphaS)-alpha-hydrazino-3,4-dihydroxy-alpha-methylbenzenepropanoic acid monohydrate"
DB00190,(S)-(-)-Carbidopa hydrate
DB00190,(S)-(−)-carbidopa hydrate
DB00190,(S)-carbidopa hydrate
DB00190,carbidopa hydrate
DB00190,Carbidopa monohydrate
DB00190,Carbidopum
DB00190,Carbidopum monohydricum
DB00190,"L-alpha-(3,4-Dihydroxybenzyl)-alpha-hydrazinopropionic acid monohydrate"
DB00445,4'-Epiadriamycin
DB00445,Epiadriamycin
DB00445,Epirubicin
DB00445,Epirubicina
DB00445,Epirubicine
DB00445,Epirubicinum
DB00445,Pidorubicina
DB00445,Pidorubicine
DB00445,Pidorubicinum
DB00733,2-PAM
DB00733,Pralidoxim
DB00733,Pralidoxima
DB00733,Pralidoxime
DB00733,Pralidoximum
DB00244,3-carboxy-4-hydroxyaniline
DB00244,5-aminosalicylic acid
DB00244,5-ASA
DB00244,Asacol
DB00244,Asacolitin
DB00244,Canasa
DB00244,Claversal
DB00244,Fisalamine
DB00244,Iialda
DB00244,Lixacol
DB00244,m-Aminosalicylic acid
DB00244,Mesalamine
DB00244,Mesalazina
DB00244,Mesalazine
DB00244,Mesalazinum
DB00244,Mesasal
DB00244,P-Aminosalicylsaeure
DB00244,Pentasa
DB00244,Rowasa
DB00244,Salofalk
DB01259,FMM
DB01259,GW 572016
DB01259,Lapatinib ditosylate
DB01259,Lapatinib tosilate hydrate
DB01259,N-(3-chloro-4-((3-Fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl)-4-quinazolinamine
DB01259,N-{3-chloro-4-[(3-fluorobenzyl)oxy]phenyl}-6-[5-({[2-(methylsulfonyl)ethyl]amino}methyl)-2-furyl]-4-quinazolinamine
DB01259,Tykerb
DB01068,"1,3-dihydro-7-Nitro-5-(2-chlorophenyl)-2H-1,4.benzodiazepin-2-one"
DB01068,"5-(2-Chloro-phenyl)-7-nitro-1,3-dihydro-benzo[e][1,4]diazepin-2-one"
DB01068,"5-(2-Chlorophenyl)-7-nitro-1H-benzo[e][1,4]diazepin-2(3H)-one"
DB01068,"5-(O-Chlorophenyl)-7-nitro-1,3-dihydro-2H-1,4-benzodiazepin-2-one"
DB01068,CLONAZEPAM
DB01068,Clonazepamum
DB00163,(+)-alpha-tocopherol
DB00163,(+)-α-tocopherol
