?drugid	?name
DB00266	"Dicoumarolum"@en
DB00266	"Dicumarol"@en
DB00378	"(9β,10α)-pregna-4,6-diene-3,20-dione"@en
DB00378	"10alpha-Isopregnenone"@en
DB00378	"6-Dehydro-retro-progesterone"@en
DB00378	"9β,10α-pregna-4,6-diene-3,20-dione"@en
DB00378	"delta(6)-Retroprogesterone"@en
DB00378	"delta(Sup 6)-retroprogesterone"@en
DB00378	"Didrogesterona"@en
DB00378	"Didrogesterone"@en
DB00378	"Dydrogesterona"@en
DB00378	"Dydrogestérone"@en
DB00378	"Dydrogesterone"@en
DB00378	"Dydrogesteronum"@en
DB00378	"Gestatron"@en
DB00378	"Hydrogesterone"@en
DB00378	"Hydrogestrone"@en
DB00378	"Isopregnenone"@en
DB00378	"Retro-6-dehydroprogesterone"@en
DB00974	"(Ethylenedinitrilo)tetraacetic acid, ion(4-)"@en
DB00974	"{[-(bis-carboxymethyl-amino)-ethyl]-carboxymethyl-amino}-acetic acid"@en
DB00974	"2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate"@en
DB00974	"Acide edetique"@en
DB00974	"Acide ethylenediaminetetracetique"@en
DB00974	"Acido edetico"@en
DB00974	"Acidum edeticum"@en
DB00974	"Edetic acid"@en
DB00974	"EDTA"@en
DB00974	"EDTA, ion(4-)"@en
DB00974	"Ethylenediaminetetraacetate"@en
DB00974	"Ethylenediaminetetraacetic acid"@en
DB00974	"H4Edta"@en
DB00974	"N,N'-1,2-Ethane diylbis-(N-(carboxymethyl)glycine)"@en
DB09075	"Edoxaban Tosylate"@en
DB09075	"Edoxaban Tosylate Monohydrate"@en
DB09075	"N'-(5-chloropyridin-2-yl)-N-[(1S,2R,4S)-4-(dimethylcarbamoyl)-2-[(5-methyl-6,7-dihydro-4H-[1,3]thiazolo[5,4-c]pyridine-2-carbonyl)amino]cyclohexyl]oxamide"@en
DB01225	"Enoxaparin sodium"@en
DB08794	"Pelentan"@en
DB08794	"Tromexan"@en
DB00569	"Arixtra"@en
DB00569	"Methyl O-2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-4)-O-beta-D-glucopyranuronosyl-(1-4)-O-2-deoxy-3,6-di-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-4)-O-2-O-sulfo-alpha-L-idopyranuronosyl-(1-4)-2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranoside, decasodium salt"@en
DB06730	"Gestoden"@en
DB06730	"Gestodene"@en
DB06730	"Gestodeno"@en
DB06730	"Gestodenum"@en
DB06730	"SH b 331"@en
DB06730	"SID144205785"@en
DB01109	"Calciparine"@en
DB01109	"Eparina"@en
DB01109	"Hep-lock"@en
DB01109	"Heparinate"@en
DB01109	"Heparinic acid"@en
DB01109	"Liquaemin"@en
DB01109	"Panheprin"@en
DB01109	"Unfractionated heparin"@en
DB00078	"Ig gamma-2A chain C region, membrane-bound form"@en
DB00078	"radiolabeled murine anti-CD20"@en
DB09053	"1-[(3R)-3-[4-Amino-3-(4-phenoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-1-yl]piperidin-1-yl]prop-2-en-1-one"@en
DB09079	"methyl (3Z)-3-[(4-{methyl[(4-methylpiperazin-1-yl)acetyl]amino}anilino)(phenyl)methylidene]-2-oxo-2,3-dihydro-1H-indole-6-carboxylate"@en
DB08935	"Afutuzumab"@en
DB00686	"Pentosan sulfuric polyester"@en
DB00686	"Pentosane polysulfate"@en
DB00686	"Pentosani polysulfas"@en
DB00686	"Pentosano polisulfato"@en
DB00686	"Pentosanpolysulfat"@en
DB00498	"2-Phenyl-1,3-diketohydrindene"@en
DB00498	"2-Phenyl-1,3-indandione"@en
DB00498	"2-Phenyl-1,3(2H)-indenedione"@en
DB00498	"Fenindiona"@en
DB00498	"Fenindione"@en
DB00498	"Phenindion"@en
DB00498	"Phénindione"@en
DB00498	"Phenindionum"@en
DB00498	"PID"@en
DB00946	"3-(1-Phenylpropyl)-4-hydroxycoumarin"@en
DB00946	"3-(1'-Phenyl-propyl)-4-oxycoumarin"@en
DB00946	"3-(alpha-Ethylbenzyl)-4-hydroxycoumarin"@en
DB00946	"3-(alpha-Phenylpropyl)-4-hydroxycoumarin"@en
DB00946	"4-Hydroxy-3-(1-phenylpropyl)-2H-1-benzopyran-2-one"@en
DB00946	"4-Hydroxy-3-(1-phenylpropyl)-2H-chromen-2-one"@en
DB00946	"Fenprocumon"@en
DB00946	"Fenprocumone"@en
DB00946	"Phenprocoumarol"@en
DB00946	"Phenprocoumarole"@en
DB00946	"Phenprocoumone"@en
DB00946	"Phenprocoumonum"@en
DB00946	"Phenprocumone"@en
DB00396	"(S)-4-Pregnene-3,20-dione"@en
DB00396	"(S)-Pregn-4-en-3,20-dione"@en
DB00396	"(S)-Progesterone"@en
DB00396	"17alpha-Progesterone"@en
DB00396	"17α-progesterone"@en
DB00396	"4-Pregnene-3,20-dione"@en
DB00396	"Agolutin"@en
DB00396	"Akrolutin"@en
DB00396	"Corpus Luteum Hormone"@en
DB00396	"Crinone"@en
DB00396	"delta(4)-Pregnene-3,20-dione"@en
DB00396	"Gelbkoerperhormon"@en
DB00396	"Luteohormone"@en
DB00396	"Lutogynon"@en
DB00396	"Pregn-4-ene-3,20-dione"@en
DB00396	"Progesteron"@en
DB00396	"Progesterona"@en
DB00396	"Progestérone"@en
DB00396	"Progesterone"@en
DB00396	"Progesteronum"@en
DB00015	"t-plasminogen activator"@en
DB00015	"Tissue-type plasminogen activator precursor"@en
DB00015	"tPA"@en
DB00015	"t- PA"@en
DB01207	"R-68070"@en
DB01207	"Ridogrel"@en
DB01207	"Ridogrelum"@en
DB06228	"BAY 59-7939"@en
DB06228	"BAY59-7939"@en
DB06228	"Xarelto"@en
DB01398	"Salsonin"@en
DB00086	"Streptokinase C precursor"@en
DB00031	"t-plasminogen activator"@en
DB00031	"Tissue-type plasminogen activator precursor"@en
DB00031	"tPA"@en
DB00031	"t- PA"@en
DB00932	"TPV"@en
DB00374	"(1R,2R,3aS,9aS)-[[2,3,3a,4,9,9a-hexahydro-2-hydroxy- 1-[(3S)-3-hydroxyoctyl]-1H-benz[f]inden-5-yl] oxy]acetic acid"@en
DB00374	"[[(1R,2R,3aS,9aS)-2-Hydroxy-1-[(3S)-3-hydroxyoctyl]-2,3,3a,4,9,9a-hexahydro-1H-cyclopenta[b]naphtalen-5-yl]oxy]acetic acid"@en
DB00374	"Treprostinil"@en
DB00374	"Treprostinilo"@en
DB00374	"Treprostinilum"@en
DB00374	"Uniprost"@en
DB00013	"U-plasminogen activator"@en
DB00013	"uPA"@en
DB00013	"Urokinase-type plasminogen activator precursor"@en
DB00163	"(+)-alpha-tocopherol"@en
DB00163	"(+)-α-tocopherol"@en
DB00163	"(2R,4'R,8'r)-alpha-tocopherol"@en
DB00163	"(2R)-2,5,7,8-TETRAMETHYL-2-[(4R,8R)-4,8,12-trimethyltridecyl]chroman-6-ol"@en
DB00163	"(R,R,R)-alpha-tocopherol"@en
DB00163	"(R,R,R)-α-tocopherol"@en
DB00163	"5,7,8-Trimethyltocol"@en
DB00163	"alpha-Tocopherol"@en
DB00163	"d-alpha-tocopherol"@en
DB00163	"d-α-tocopherol"@en
DB00163	"Vitamin e"@en
DB09030	"[(1R,3aR,4aR,6R,8aR,9S,9aS)-9-{(E)-2-[5-(3-Fluorophényl)-2-pyridinyl]vinyl}-1-méthyl-3-oxododécahydronaphto[2,3-c]furan-6-yl]carbamate d'éthyle"@en
DB09030	"Carbamic acid, [(1R,3aR,4aR,6R,8aR,9S,9aS)-9-[(1E)-2-[5-(3-fluorophenyl)-2- pyridinyl]ethenyl]dodecahydro-1-methyl-3-oxonaphtho[2,3-c]furan-6-yl]-, ethyl ester"@en
DB09030	"Carbamic acid, N-[(1R,3aR,4aR,6R,8aR,9S,9aS)-9-[(E)-2-[5-(3-fluorophenyl)-2-pyridinyl]ethenyl]dodecahydro-1-methyl-3-oxonaphtho[2,3-c]furan-6-yl]-, ethyl ester"@en
DB09030	"Ethyl N-[(3R,3aS,4S,4aR,7R,8aR,9aR)-4-[(E)-2-[5-(3-fluorophenyl)-2-pyridyl]vinyl]-3-methyl-1-oxo-3a,4,4a,5,6,7,8,8a,9,9a-decahydro-3H-benzo[f]isobenzofuran-7-yl]carbamate"@en
DB09030	"Zontivity"@en
DB00682	"4-Hydroxy-3-(3-oxo-1-phenylbutyl)coumarin"@en
DB00682	"Coumafene"@en
DB00682	"Zoocoumarin"@en
DB00007	"(D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormone"@en
DB00007	"L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide"@en
DB00007	"Leuprorelin"@en
DB00007	"Leuprorelina"@en
DB00007	"Leuproreline"@en
DB00007	"Leuprorelinum"@en
DB00007	"PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5"@en
DB00007	"PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet"@en
DB00414	"1-((p-Acetylphenyl)sulfonyl)-3-cyclohexylurea"@en
DB00414	"1-[(4-acetylbenzene)sulfonyl]-3-cyclohexylurea 4-acetyl-N-(cyclohexylcarbamoyl)benzenesulfonamide"@en
DB00414	"Acetohexamid"@en
DB00414	"Acetohexamida"@en
DB00414	"Acétohexamide"@en
DB00414	"Acetohexamide"@en
DB00414	"Acetohexamidum"@en
DB00414	"N-(p-Acetylphenylsulfonyl)-N'-cyclohexylurea"@en
DB06203	"Alogliptina"@en
DB06203	"Alogliptine"@en
DB06203	"Alogliptinum"@en
DB06203	"SYR-322"@en
DB08907	"1-(Glucopyranosyl)-4-methyl-3-(5-(4-fluorophenyl)-2-thienylmethyl)benzene"@en
DB08907	"Canagliflozin hydrate"@en
DB00672	"1-(P-Chlorobenzenesulfonyl)-3-propylurea"@en
DB00672	"1-(P-Chlorophenylsulfonyl)-3-propylurea"@en
DB00672	"1-Propyl-3-(P-chlorobenzenesulfonyl)urea"@en
DB00672	"4-chloro-N-((Propylamino)carbonyl)benzenesulfonamide"@en
DB00672	"4-chloro-N-[(Propylamino)carbonyl]benzenesulfonamide"@en
DB00672	"Chlorpropamid"@en
DB00672	"Chlorpropamide"@en
DB00672	"Chlorpropamidum"@en
DB00672	"Clorpropamida"@en
DB00672	"N-(4-Chlorophenylsulfonyl)-n'-propylurea"@en
DB00672	"N-(P-Chlorobenzenesulfonyl)-n'-propylurea"@en
DB00672	"N-Propyl-n'-(P-chlorobenzenesulfonyl)urea"@en
DB00672	"N-Propyl-n'-P-chlorophenylsulfonylcarbamide"@en
DB01120	"1-(3-Azabicyclo(3.3.0)oct-3-yl)-3-(p-tolylsulfonyl)urea"@en
DB01120	"1-(Hexahydrocyclopenta(c)pyrrol-2(1H)-yl)-3-(p-tolylsulfonyl)urea"@en
DB01120	"Gliclazida"@en
DB01120	"Gliclazidum"@en
DB01120	"N-(4-Methylbenzenesulfonyl)-N'-(3-azabicyclo(3.3.0)oct-3-yl)urea"@en
DB00222	"Amaryl"@en
DB00222	"Glimepirida"@en
DB00222	"Glimépiride"@en
DB00222	"Glimepiridum"@en
DB01251	"Glurenorm"@en
DB01016	"1-((P-(2-(5-chloro-O-Anisamido)ethyl)phenyl)sulfonyl)-3-cyclohexylurea"@en
DB01016	"1-(P-(2-(5-chloro-2-Methoxybenzamido)ethyl)benzenesulfonyl)-3-cyclohexylurea"@en
DB01016	"5-chloro-N-(2-(4-((((Cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-2-methoxybenzamide"@en
DB01016	"Diabeta"@en
DB01016	"Glibenclamida"@en
DB01016	"Glibenclamide"@en
DB01016	"Glibenclamidum"@en
DB01016	"Glyburide"@en
DB01016	"Glynase"@en
DB01016	"Micronase"@en
DB01306	"Aspart"@en
DB01306	"Aspart Insulin"@en
DB01306	"B28-Aspart-Insulin"@en
DB01306	"INA-X14"@en
DB01306	"Insulin X14"@en
DB01306	"Insulin, Asp(B28)"@en
DB01307	"Insulin detemir"@en
DB01307	"Insulin detemir recombinant"@en
DB01307	"Levemir"@en
DB01307	"Levemir flexpen"@en
DB01307	"Levemir innolet"@en
DB01307	"Levemir penfill"@en
DB01307	"NN-304"@en
DB00047	"Insulin Glargine (rDNA origin)"@en
DB00046	"Insulin Lispro Recombinant"@en
DB00030	"Insulin human"@en
DB08914	"Isophane Insulin"@en
DB08914	"NPH Insulin"@en
DB09083	"3-[3-({[(7S)-3,4-dimethoxybicyclo[4.2.0]octa-1,3,5-trien-7-yl]methyl}(methyl)amino)propyl]-7,8-dimethoxy-2,3,4,5-tetrahydro-1H-3-benzazepin-2-one"@en
DB09083	"Ivabradin"@en
DB09083	"Ivabradina"@en
DB09083	"Ivabradine"@en
DB09083	"Ivabradinum"@en
DB08882	"(R)-8-(3-Aminopiperidin-1-yl)-7-but-2-ynyl-3-methyl-1-(4-methylquinazolin-2-ylmethyl)-3,7-dihydro-purine-2,6-dione"@en
DB08882	"BI 1356"@en
DB08882	"BI-1356"@en
DB08882	"Tradjenta"@en
DB08882	"Trajenta"@en
DB00331	"1,1-Dimethylbiguanide"@en
DB00331	"Dimethylbiguanid"@en
DB00331	"Haurymellin"@en
DB00331	"Metformin"@en
DB00331	"Metformina"@en
DB00331	"Metformine"@en
DB00331	"Metformine pamoate"@en
DB00331	"Metforminum"@en
DB00331	"N,N-Dimethylimidodicarbonimidic diamide"@en
DB00834	"11-(4-DIMETHYLAMINO-phenyl)-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,13,14,15,16,17-dodec ahydro-cyclopenta[a]phenanthren-3-one"@en
DB00834	"Corlux"@en
DB00834	"Mifegyne"@en
DB00834	"Mifeprex"@en
DB00834	"Mifepriston"@en
DB00834	"Mifepristona"@en
DB00834	"Mifépristone"@en
DB00834	"Mifepristonum"@en
DB00834	"RU-486"@en
DB00834	"RU486"@en
DB00912	"AG-EE 388 ZW"@en
DB00912	"AG-EE 623 ZW"@en
DB00912	"Prandin"@en
DB00912	"Repaglinida"@en
DB00912	"Repaglinidum"@en
DB00912	"Surepost"@en
DB06335	"(1S,3S,5S)-2-((2S)-Amino(3-hydroxytricyclo(3.3.1.13,7)dec-1-yl)acetyl)-2-azabicyclo(3.1.0)hexane-3-carbonitrile"@en
DB06335	"BMS 477118"@en
DB06335	"BMS-477118"@en
DB06335	"Onglyza"@en
DB01124	"1-Butyl-3-(P-methylphenylsulfonyl)urea"@en
DB01124	"1-Butyl-3-(P-tolylsulfonyl)urea"@en
DB01124	"1-Butyl-3-tosylurea"@en
DB01124	"1-P-Toluenesulfonyl-3-butylurea"@en
DB01124	"3-(P-Tolyl-4-sulfonyl)-1-butylurea"@en
DB01124	"N-(4-Methylbenzenesulfonyl)-n'-butylurea"@en
DB01124	"N-(4-Methylphenylsulfonyl)-n'-butylurea"@en
DB01124	"N-(P-Methylbenzenesulfonyl)-n'-butylurea"@en
DB01124	"N-(Sulfonyl-P-methylbenzene)-n'-N-butylurea"@en
DB01124	"N-Butyl-n'-(4-methylphenylsulfonyl)urea"@en
DB01124	"N-Butyl-N'-(p-tolylsulfonyl)urea"@en
DB01124	"N-Butyl-n'-P-toluenesulfonylurea"@en
DB01124	"N-N-Butyl-n'-tosylurea"@en
DB01124	"Orinase (tn)"@en
DB01124	"Tolbutamida"@en
DB01124	"Tolbutamide"@en
DB01124	"Tolbutamidum"@en
DB01124	"Tolylsulfonylbutylurea"@en
DB04876	"EQUA"@en
DB04876	"Galvus"@en
DB04876	"Jalra"@en
DB04876	"LAF 237"@en
DB04876	"LAF-237"@en
DB04876	"LAF237"@en
DB04876	"NVP-LAF-237"@en
DB04876	"NVP-LAF237"@en
DB04876	"Vildagliptin"@en
DB04876	"Xiliarx"@en
DB00041	"IL-2"@en
DB00041	"Interleukin-2 precursor"@en
DB00041	"T-cell growth factor"@en
DB00041	"TCGF"@en
DB00363	"Clozapin"@en
DB00363	"Clozapina"@en
DB00363	"Clozapine"@en
DB00363	"Clozapinum"@en
DB04817	"Dipyrone"@en
DB00333	"(+-)-Methadone"@en
DB00333	"(+/-)-Methadone"@en
DB00333	"(±)-methadone"@en
DB00333	"6-Dimethylamino-4,4-diphenyl-3-heptanone"@en
DB00333	"dl-Methadone"@en
DB00333	"Methadonum"@en
DB00811	"1-beta-D-Ribofuranosyl-1,2,4-triazole-3-carboxamide"@en
DB00811	"1-beta-D-Ribofuranosyl-1H-1,2,4-triazole-3-carboxamide"@en
DB00811	"RBV"@en
DB00811	"Ribavirin"@en
DB00811	"Ribavirina"@en
DB00811	"Ribavirine"@en
DB00811	"Ribavirinum"@en
DB00811	"Tribavirin"@en
DB01265	"1-(2-Deoxy-beta-L-ribofuranosyl)-5-methyluracil"@en
DB01265	"2'-Deoxy-L-thymidine"@en
DB01265	"beta-L-2'-Deoxythymidine"@en
DB01265	"Beta-l-thymidine"@en
DB01265	"Epavudine"@en
DB01265	"L-deoxythymidine"@en
DB01265	"L-DT"@en
DB01265	"L-thymidine"@en
DB01265	"LDT"@en
DB01265	"Telbivudin"@en
DB00697	"5-Chloro-4-(2-imidazolin-2-ylamino)-2,1,3-benzothiadiazole"@en
DB00697	"Tizanidin"@en
DB00697	"Tizanidina"@en
DB00697	"Tizanidine"@en
DB00697	"Tizanidinum"@en
DB00495	"Azidothymidine"@en
DB00495	"AZT"@en
DB00495	"ZDV"@en
DB00495	"Zidovudin"@en
DB00495	"Zidovudinum"@en
DB00233	"2-HYDROXY-4-aminobenzoic acid"@en
DB00233	"4-aminosalicylate"@en
DB00233	"4-aminosalicylic acid"@en
DB00233	"Aminosalicylic acid"@en
DB00233	"p-aminosalicylic acid"@en
DB00233	"para-amino salicylic acid"@en
DB00233	"para-aminosalicylic acid"@en
DB00233	"PAS"@en
DB00233	"Paser"@en
DB00261	"Anagrelida"@en
DB00261	"Anagrelidum"@en
DB06692	"bovine pancreatic trypsin inhibitor"@en
DB06692	"BPTI"@en
DB06692	"Iniprol"@en
DB06692	"Trazinin"@en
DB01294	"2-Hydroxy-benzo[1,3,2]dioxabismin-4-one"@en
DB01294	"Basic bismuth salicylate"@en
DB01294	"Bismuth oxide salicylate"@en
DB01294	"Bismuth oxysalicylate"@en
DB01294	"Bismuth subsalicylate"@en
DB01294	"pink bismuth"@en
DB01294	"Wismutsubsalicylat"@en
DB01166	"3,4-dihydro-6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-2(1H)-quinolinone"@en
DB01166	"6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydro-2(1H)-quinolinone"@en
DB01166	"6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydrocarbostyril"@en
DB01166	"6-[4-(1-Cyclohexyl-1H-tetrazol-5-yl)-butoxy]-3,4-dihydro-1H-quinolin-2-one"@en
DB01166	"Cilostazole"@en
DB01166	"Cilostazolum"@en
DB00215	"Citadur"@en
DB00215	"Nitalapram"@en
DB00758	"(+)-Clopidogrel"@en
DB00758	"Clopidogrelum"@en
DB06700	"Desvenlafaxine"@en
DB06700	"O-desmethylvenlafaxine"@en
DB06700	"ODV"@en
DB06700	"Pristiq"@en
DB00586	"[2-(2,6-Dichloroanilino)phenyl]acetic acid"@en
DB00586	"2-((2,6-Dichlorophenyl)amino)benzeneacetic acid"@en
DB00586	"Diclofenac"@en
DB00586	"Diclofenac Acid"@en
DB00586	"Diclofenaco"@en
DB00586	"Diclofenacum"@en
DB00586	"ISV-205"@en
DB00861	"2-(Hydroxy)-5-(2,4-difluorophenyl)benzoic acid"@en
DB00861	"2',4'-Difluoro-4-hydroxy-3-biphenylcarboxylic acid"@en
