?drugid	?omimid
DB01050	omim:208230
DB01050	omim:607459
DB01050	omim:607850
DB01050	omim:145590
DB01050	omim:252320
DB01050	omim:150600
DB01088	omim:161900
DB01088	omim:608622
DB01088	omim:178600
DB01088	omim:145500
DB00328	omim:140600
DB00328	omim:147530
DB00328	omim:165720
DB00328	omim:208230
DB00328	omim:607459
DB00328	omim:607850
DB00328	omim:157300
DB00328	omim:133600
DB00328	omim:133690
DB00328	omim:246400
DB00328	omim:263800
DB00328	omim:602522
DB01009	omim:140600
DB01009	omim:165720
DB01009	omim:208230
DB01009	omim:607459
DB01009	omim:607850
DB01009	omim:145590
DB00465	omim:147530
DB00465	omim:308205
DB00814	omim:140600
DB00814	omim:165720
DB00814	omim:208230
DB00814	omim:607459
DB00814	omim:607850
DB00814	omim:133690
DB00461	omim:140600
DB00461	omim:147530
DB00788	omim:140600
DB00788	omim:147530
DB00788	omim:165720
DB00788	omim:208230
DB00788	omim:607459
DB00788	omim:607850
DB00788	omim:145590
DB00788	omim:252320
DB00788	omim:157300
DB00788	omim:133600
DB00788	omim:133690
DB00788	omim:150600
DB00727	omim:189800
DB00727	omim:179600
DB00991	omim:140600
DB00991	omim:165720
DB00991	omim:208230
DB00991	omim:607459
DB00991	omim:607850
DB00715	omim:164230
DB00715	omim:167870
DB00715	omim:252320
DB00715	omim:131300
DB00554	omim:140600
DB00554	omim:165720
DB00554	omim:208230
DB00554	omim:607459
DB00554	omim:607850
DB01399	omim:147530
DB01399	omim:145590
DB01104	omim:164230
DB01104	omim:167870
DB01104	omim:252320
DB01104	omim:131300
DB00605	omim:140600
DB00605	omim:147530
DB00605	omim:165720
DB00605	omim:208230
DB00605	omim:607459
DB00605	omim:607850
DB00605	omim:133690
DB00605	omim:175100
DB00208	omim:188050
DB00775	omim:608320
DB00500	omim:140600
DB00500	omim:165720
DB00500	omim:208230
DB00500	omim:607459
DB00500	omim:607850
DB00285	omim:147530
DB00285	omim:164230
DB00285	omim:167870
DB00285	omim:143465
DB00285	omim:131300
DB00285	omim:607499
DB00010	omim:604416
DB00480	omim:254500
DB01041	omim:254500
DB01041	omim:246300
DB00014	omim:131200
DB00014	omim:176807
DB00014	omim:601518
DB00014	omim:114480
DB00017	omim:143880
DB00017	omim:166710
DB00017	omim:167320
DB00017	omim:602080
DB00290	omim:155600
DB00290	omim:109543
DB00290	omim:236000
DB00290	omim:247640
DB00290	omim:267730
DB00290	omim:155601
DB00290	omim:273300
DB00321	omim:147530
DB00321	omim:252320
DB00321	omim:144110
DB00572	omim:190310
DB00572	omim:226150
DB00245	omim:125320
DB00245	omim:168100
DB00245	omim:168600
DB00477	omim:145590
DB00477	omim:181500
DB00771	omim:226150
DB00771	omim:191390
DB01242	omim:164230
DB01242	omim:167870
DB00318	omim:140600
DB00318	omim:145590
DB00318	omim:608088
DB01176	omim:145590
DB00924	omim:147530
DB00924	omim:200170
DB00924	omim:601042
DB00924	omim:157300
DB00924	omim:160750
DB00434	omim:606703
DB00434	omim:157300
DB00434	omim:300125
DB00434	omim:181500
DB00434	omim:147540
DB00434	omim:113610
DB00434	omim:218200
DB00434	omim:312910
DB00434	omim:606798
DB01151	omim:147530
DB01151	omim:143465
DB00804	omim:600351
DB00804	omim:304790
DB01075	omim:145590
DB01075	omim:608088
DB01075	omim:147540
DB01075	omim:158280
DB00280	omim:115000
DB01142	omim:147530
DB01142	omim:603165
DB00366	omim:145590
DB00366	omim:147540
DB01148	omim:155100
DB01148	omim:231200
DB01148	omim:273800
DB00623	omim:181500
DB00588	omim:208550
DB00588	omim:600807
DB00502	omim:182830
DB00502	omim:137580
DB00502	omim:181500
DB00502	omim:127750
DB00557	omim:147530
DB00557	omim:145590
DB00424	omim:200170
DB00424	omim:190310
DB00424	omim:144110
DB00424	omim:226150
DB00424	omim:260570
DB00458	omim:600631
DB00458	omim:600808
DB00458	omim:147530
DB00458	omim:167870
DB00458	omim:143465
DB00332	omim:208550
DB00332	omim:600807
DB00332	omim:210050
DB00408	omim:181500
DB01403	omim:147530
DB00540	omim:600631
DB00540	omim:600808
DB00540	omim:147530
DB00540	omim:167870
DB00540	omim:143465
DB00540	omim:252320
DB00334	omim:164230
DB00334	omim:181500
DB00334	omim:300494
DB01173	omim:147530
DB01173	omim:200170
DB01173	omim:157300
DB01173	omim:160750
DB01062	omim:144110
DB00433	omim:145590
DB00433	omim:225740
DB00433	omim:225755
DB00433	omim:260970
DB00433	omim:608033
DB00433	omim:182830
DB00387	omim:125320
DB00387	omim:168100
DB00387	omim:168600
DB01069	omim:608088
DB01069	omim:147540
DB01069	omim:158280
DB01224	omim:164230
DB01224	omim:181500
DB00734	omim:225740
DB00734	omim:225755
DB00734	omim:260970
DB00734	omim:608033
DB00734	omim:182830
DB00734	omim:137580
DB00734	omim:181500
DB00734	omim:300494
DB00747	omim:125320
DB00747	omim:168100
DB00747	omim:168600
DB00747	omim:190310
DB00747	omim:226150
DB00747	omim:107550
DB00747	omim:158280
DB00679	omim:181500
DB01623	omim:181500
DB00831	omim:181500
DB00376	omim:168100
DB00969	omim:260570
DB01223	omim:208550
DB01223	omim:600807
DB01223	omim:210050
DB01238	omim:164230
DB01238	omim:181500
DB00289	omim:143465
DB00195	omim:161900
DB00195	omim:608622
DB00195	omim:137750
DB00241	omim:145590
DB00241	omim:157300
DB00201	omim:140600
DB00201	omim:147530
DB00201	omim:145590
DB00201	omim:136200
DB00201	omim:157300
DB01197	omim:146255
DB01197	omim:161900
DB01197	omim:608622
DB01197	omim:215140
DB01197	omim:600351
DB01197	omim:179600
DB01197	omim:602522
DB01136	omim:161900
DB01136	omim:608622
DB01136	omim:607554
DB00608	omim:181000
DB00851	omim:155600
DB00851	omim:276300
DB00851	omim:236000
DB00851	omim:155601
DB00851	omim:256700
DB00851	omim:268220
DB00514	omim:145590
DB00514	omim:608088
DB00997	omim:114480
DB00997	omim:254500
DB00997	omim:276300
DB00997	omim:236000
DB00997	omim:247640
DB00997	omim:109800
DB00997	omim:137215
DB00997	omim:601626
DB00997	omim:188470
DB00997	omim:256700
DB00997	omim:259500
DB00997	omim:194070
DB00997	omim:268220
DB00997	omim:211980
DB01195	omim:607554
DB00499	omim:176807
DB00281	omim:147530
DB01577	omim:143465
DB01577	omim:264120
DB01577	omim:303110
DB01577	omim:601665
DB00264	omim:157700
DB00264	omim:161900
DB00264	omim:608622
DB00264	omim:607554
DB00264	omim:608583
DB00264	omim:110100
DB00264	omim:190300
DB00379	omim:115000
DB01035	omim:115000
DB01035	omim:607554
DB01035	omim:608583
DB00571	omim:157700
DB00571	omim:161900
DB00571	omim:608622
DB00571	omim:157300
DB00571	omim:115000
DB00571	omim:300125
DB00571	omim:110100
DB00571	omim:190300
DB00571	omim:140850
DB00571	omim:171300
DB01367	omim:168100
DB01367	omim:168600
DB00268	omim:125320
DB00268	omim:102300
DB00268	omim:168100
DB00268	omim:168600
DB00675	omim:114480
DB00675	omim:174800
DB04844	omim:143100
DB00277	omim:208550
DB00277	omim:600807
DB00277	omim:210050
DB00373	omim:601682
DB00373	omim:161900
DB00373	omim:608622
DB00373	omim:137750
DB00373	omim:157300
DB00373	omim:300125
DB00373	omim:137760
DB01395	omim:184700
DB01395	omim:604416
DB00783	omim:176807
DB00783	omim:114480
DB00783	omim:102500
DB00783	omim:215470
DB00783	omim:311360
DB00977	omim:184700
DB00977	omim:131200
DB00977	omim:604416
DB00977	omim:102500
DB00977	omim:192000
DB00977	omim:215470
DB00977	omim:311360
DB00957	omim:131200
DB00957	omim:604416
DB00957	omim:192000
DB01169	omim:276300
DB01072	omim:109100
DB00436	omim:161900
DB00436	omim:608622
DB00436	omim:215140
DB00436	omim:600351
DB00436	omim:256370
DB00443	omim:133600
DB00443	omim:603165
DB00443	omim:125600
DB00443	omim:151590
DB00887	omim:146255
DB00887	omim:161900
DB00887	omim:608622
DB00887	omim:166300
DB00887	omim:208300
DB00887	omim:215140
DB00887	omim:600351
DB00887	omim:210050
DB00887	omim:203700
DB00887	omim:256370
DB00880	omim:161900
DB00880	omim:608622
DB00880	omim:215140
DB00880	omim:600351
DB00880	omim:210050
DB00880	omim:203700
DB00880	omim:256370
DB00310	omim:161900
DB00310	omim:608622
DB01406	omim:131200
DB01406	omim:215140
DB01406	omim:600351
DB01406	omim:601608
DB01234	omim:153880
DB01234	omim:152700
DB01234	omim:145590
DB01234	omim:208550
DB01234	omim:215140
DB01234	omim:600351
DB01234	omim:233810
DB01234	omim:276300
DB01234	omim:254400
DB01234	omim:133600
DB01234	omim:166760
DB01234	omim:125600
DB01234	omim:223350
DB01234	omim:601608
DB01234	omim:188030
DB01234	omim:181000
DB00668	omim:601682
DB00668	omim:208550
DB00668	omim:600807
DB00668	omim:137750
DB00668	omim:137760
DB00668	omim:147540
DB00903	omim:161900
DB00903	omim:608622
DB00903	omim:208300
DB00903	omim:215140
DB00903	omim:600351
DB00903	omim:210050
DB00903	omim:203700
DB00903	omim:256370
DB01590	omim:144700
DB01590	omim:605839
DB00687	omim:157700
DB00687	omim:252320
DB00695	omim:143880
DB00695	omim:146255
DB00695	omim:161900
DB00695	omim:608622
DB00695	omim:166300
DB00695	omim:208300
DB00695	omim:215140
DB00695	omim:600351
DB00695	omim:210050
DB00695	omim:203700
DB00695	omim:256370
DB01067	omim:125850
DB01067	omim:125851
DB01067	omim:125853
DB01067	omim:600496
DB00999	omim:125700
DB00999	omim:102500
DB00999	omim:161900
DB00999	omim:608622
DB00999	omim:208300
DB00999	omim:215140
DB00999	omim:600351
DB00741	omim:233810
DB00741	omim:166760
DB00741	omim:125600
DB00808	omim:161900
DB00808	omim:608622
DB00808	omim:215140
DB00808	omim:600351
DB00808	omim:256370
DB00367	omim:184700
DB00367	omim:131200
DB00367	omim:192000
DB00603	omim:131200
DB00603	omim:102500
DB00603	omim:192000
DB00603	omim:144700
DB00603	omim:605839
DB00351	omim:114480
DB00351	omim:192000
DB00351	omim:109100
DB00232	omim:215140
DB00959	omim:140600
DB00959	omim:208550
DB00959	omim:276300
DB00959	omim:147540
DB00959	omim:109100
DB00959	omim:146850
DB00524	omim:161900
DB00524	omim:608622
DB00524	omim:215140
DB00731	omim:125850
DB00731	omim:125851
DB00731	omim:125853
DB00731	omim:600496
DB00627	omim:144010
DB00627	omim:144650
DB00717	omim:184700
DB00717	omim:131200
DB00717	omim:604416
DB00717	omim:102500
DB00717	omim:192000
DB00717	omim:215470
DB00104	omim:125852
DB01267	omim:181500
DB01132	omim:125850
DB01132	omim:125851
DB01132	omim:125853
DB01132	omim:600496
DB00860	omim:126200
DB00860	omim:215140
DB00860	omim:600351
DB00860	omim:276300
DB00860	omim:304790
DB00860	omim:147540
DB00860	omim:146850
DB00635	omim:143880
DB00635	omim:152700
DB00635	omim:208550
DB00635	omim:126200
DB00635	omim:157300
DB00635	omim:600351
DB00635	omim:233810
DB00635	omim:276300
DB00635	omim:247640
DB00635	omim:254400
DB00635	omim:133600
DB00635	omim:304790
DB00635	omim:147540
DB00635	omim:109100
DB00635	omim:125600
DB00635	omim:151590
DB00635	omim:223350
DB00635	omim:208920
DB00635	omim:188030
DB00635	omim:181000
DB00635	omim:146850
DB00635	omim:205700
DB00468	omim:200170
DB00412	omim:125850
DB00412	omim:125851
DB00412	omim:125853
DB00412	omim:600496
DB01232	omim:109100
DB01268	omim:144700
DB01268	omim:605839
DB00864	omim:603165
DB06287	omim:144700
DB06287	omim:605839
DB00624	omim:114480
DB00624	omim:215470
DB00624	omim:241100
DB00839	omim:125850
DB00839	omim:125851
DB00839	omim:125853
DB00839	omim:600496
DB00214	omim:146255
DB00214	omim:161900
DB00214	omim:608622
DB00214	omim:166300
DB00214	omim:208300
DB00214	omim:215140
DB00214	omim:600351
DB00620	omim:152700
DB00620	omim:208550
DB00620	omim:165199
DB00620	omim:104130
DB00620	omim:114580
DB00620	omim:133600
DB00620	omim:147540
DB00620	omim:151590
DB00620	omim:223350
DB00620	omim:188030
DB00620	omim:181000
DB00620	omim:148100
DB00620	omim:173200
DB02546	omim:276300
DB02546	omim:254400
DB00246	omim:137580
DB00246	omim:181500
DB00035	omim:600631
DB00035	omim:600808
DB00035	omim:125700
DB00035	omim:134430
DB00035	omim:304900
DB00921	omim:147530
DB00611	omim:147530
DB00564	omim:128101
DB00564	omim:190400
DB00564	omim:102300
DB00564	omim:165199
DB00564	omim:181500
DB00564	omim:104130
DB00482	omim:140600
DB00482	omim:147530
DB00482	omim:165720
DB00482	omim:208230
DB00482	omim:607459
DB00482	omim:607850
DB00482	omim:135550
DB00482	omim:175100
DB00482	omim:175505
DB00482	omim:246470
DB00813	omim:147530
DB00956	omim:147530
DB00956	omim:608088
DB00327	omim:147530
DB00327	omim:608088
DB00555	omim:217200
DB00555	omim:239350
DB00555	omim:181500
DB00555	omim:102100
DB01356	omim:181500
DB00295	omim:147530
DB00844	omim:147530
DB00497	omim:147530
DB01192	omim:147530
DB00652	omim:147530
DB00454	omim:147530
DB00899	omim:147530
DB00193	omim:147530
DB00193	omim:102300
DB00240	omim:233810
DB00394	omim:208550
DB00394	omim:600807
DB01222	omim:266600
DB01222	omim:208550
DB01222	omim:600807
DB01222	omim:210050
DB01222	omim:191390
DB01013	omim:125600
DB01013	omim:151590
DB00547	omim:233810
DB00591	omim:603165
DB00324	omim:278200
DB00846	omim:233810
DB00596	omim:233810
DB01235	omim:102300
DB01235	omim:168100
DB00764	omim:208550
DB00764	omim:600807
DB00764	omim:233810
DB00794	omim:600131
DB00794	omim:604827
DB00794	omim:217200
DB00794	omim:190310
DB00794	omim:190300
DB00794	omim:208700
DB00794	omim:267740
DB00794	omim:300491
DB00794	omim:607628
DB00794	omim:607631
DB00794	omim:607681
DB00794	omim:607682
DB00794	omim:608105
DB00794	omim:121201
DB00794	omim:132090
DB00794	omim:132100
DB00794	omim:132300
DB00091	omim:152700
DB00091	omim:254200
DB01296	omim:140600
DB01296	omim:165720
DB01296	omim:208230
DB01296	omim:607459
DB01296	omim:607850
DB00806	omim:601367
DB00806	omim:188050
DB00806	omim:125310
DB00806	omim:540000
DB00552	omim:276300
DB00067	omim:125700
DB00067	omim:304900
DB00297	omim:147530
DB01161	omim:147530
DB00988	omim:146255
DB00988	omim:161900
DB00988	omim:166300
DB00988	omim:310468
DB01364	omim:208550
DB01364	omim:600807
DB00368	omim:146500
DB00388	omim:601682
DB00388	omim:145590
DB00388	omim:137750
DB00388	omim:146500
DB00388	omim:137760
DB00388	omim:608088
DB00388	omim:147540
DB00750	omim:147530
DB00928	omim:258360
DB00928	omim:247200
DB00928	omim:601004
DB00993	omim:152700
DB00993	omim:254200
DB00993	omim:266600
DB00993	omim:126200
DB00993	omim:233810
DB00993	omim:208920
DB00993	omim:188030
DB00993	omim:181000
DB00993	omim:160300
DB01008	omim:276300
DB01008	omim:223350
DB01008	omim:246470
DB01008	omim:263300
DB01008	omim:254450
DB01101	omim:176807
DB01101	omim:114480
DB01101	omim:276300
DB01101	omim:137215
DB01101	omim:144700
DB01101	omim:114500
DB00958	omim:276300
DB00958	omim:109800
DB00958	omim:133239
DB00958	omim:259500
DB00262	omim:254500
DB00262	omim:109543
DB00262	omim:276300
DB00262	omim:137800
DB00262	omim:236000
DB00262	omim:247640
DB00262	omim:267730
DB00515	omim:254500
DB00515	omim:276300
DB00515	omim:236000
DB00515	omim:273300
DB00515	omim:109800
DB00515	omim:182280
DB00515	omim:133239
DB00515	omim:256700
DB00515	omim:259500
DB00242	omim:126200
DB00242	omim:109543
DB00242	omim:151400
DB00242	omim:258360
DB00242	omim:276300
DB00631	omim:247640
DB00987	omim:109543
DB00987	omim:276300
DB00987	omim:236000
DB00987	omim:247640
DB00987	omim:267730
DB00987	omim:601626
DB00987	omim:223350
DB00987	omim:246470
DB00694	omim:276300
DB00694	omim:247640
DB00694	omim:601626
DB00694	omim:223350
DB00694	omim:148000
DB01248	omim:155600
DB01248	omim:176807
DB01248	omim:114480
DB01248	omim:276300
DB01248	omim:155601
DB01248	omim:137215
DB00445	omim:114480
DB00445	omim:276300
DB01196	omim:176807
DB01196	omim:601518
DB00773	omim:276300
DB00773	omim:236000
DB00773	omim:273300
DB00773	omim:182280
DB01073	omim:109543
DB01073	omim:151400
DB01073	omim:276300
DB01073	omim:236000
DB01073	omim:247640
DB01073	omim:267730
DB01073	omim:223350
DB00544	omim:114480
DB00544	omim:106400
DB00544	omim:276300
DB00544	omim:137215
DB00544	omim:114500
DB00441	omim:114480
DB00441	omim:144700
DB00441	omim:605839
DB05259	omim:126200
DB01005	omim:155600
DB01005	omim:276300
DB01005	omim:155601
DB01005	omim:144700
DB01005	omim:605839
DB01005	omim:187950
DB01005	omim:263300
DB01177	omim:247640
DB01177	omim:601626
DB01177	omim:223350
DB01181	omim:109543
DB01181	omim:151400
DB01181	omim:276300
DB01181	omim:236000
DB01181	omim:247640
DB01181	omim:273300
DB00619	omim:276300
DB00619	omim:247640
DB00619	omim:131440
DB00619	omim:607685
DB00724	omim:106400
DB00762	omim:276300
DB00762	omim:223350
DB00762	omim:246470
DB00762	omim:114500
DB01042	omim:254500
DB01042	omim:256700
DB01042	omim:268220
DB01033	omim:266600
DB01033	omim:109543
DB01033	omim:151400
DB01033	omim:247640
DB01033	omim:191390
DB00563	omim:114480
DB00563	omim:233810
DB00563	omim:109543
DB00563	omim:276300
DB00563	omim:236000
DB00563	omim:247640
DB00563	omim:267730
DB00563	omim:273300
DB00563	omim:109800
DB00563	omim:137215
DB00563	omim:254400
DB00563	omim:601626
DB00563	omim:151590
DB00563	omim:182280
DB00563	omim:223350
DB00563	omim:246470
DB00563	omim:133239
DB00563	omim:259500
DB00563	omim:268220
DB00563	omim:114500
DB00563	omim:208920
DB00563	omim:231090
DB00305	omim:109800
DB00305	omim:137215
DB01204	omim:176807
DB01204	omim:147530
DB01204	omim:126200
DB01204	omim:109543
DB01204	omim:236000
DB01204	omim:247640
DB01204	omim:267730
DB01204	omim:601626
DB01229	omim:114480
DB01229	omim:148000
DB01229	omim:194070
DB00642	omim:276300
DB00398	omim:114550
DB00398	omim:144700
DB00398	omim:188470
DB00398	omim:605839
DB00428	omim:236000
DB00853	omim:155600
DB00853	omim:276300
DB00853	omim:155601
DB00444	omim:109543
DB00444	omim:236000
DB00444	omim:247640
DB00444	omim:267730
DB00444	omim:182280
DB00444	omim:223350
DB00352	omim:601626
DB01030	omim:276300
DB01030	omim:182280
DB00755	omim:604416
DB00755	omim:276300
DB00755	omim:151590
DB00755	omim:145100
DB00755	omim:145200
DB00755	omim:182000
DB00570	omim:114480
DB00570	omim:276300
DB00570	omim:236000
DB00570	omim:273300
DB00570	omim:254400
DB00570	omim:148000
DB00570	omim:188030
DB00541	omim:254500
DB00541	omim:109543
DB00541	omim:276300
DB00541	omim:236000
DB00541	omim:247640
DB00541	omim:267730
DB00541	omim:601626
DB00541	omim:223350
DB00541	omim:246470
DB00541	omim:256700
DB00541	omim:194070
DB00541	omim:268220
DB00541	omim:601608
DB00361	omim:236000
DB01193	omim:161900
DB01193	omim:608622
DB09026	omim:161900
DB09026	omim:608622
DB09026	omim:145500
DB00594	omim:161900
DB00594	omim:608622
DB00594	omim:208300
DB00594	omim:215140
DB00381	omim:161900
DB00381	omim:608622
DB00381	omim:608320
DB00381	omim:179600
DB00381	omim:125310
DB00381	omim:145500
DB00335	omim:157700
DB00335	omim:110100
DB00542	omim:146255
DB00542	omim:161900
DB00542	omim:608622
DB00612	omim:157700
DB00612	omim:110100
DB00796	omim:161900
DB00796	omim:608622
DB00575	omim:147530
DB00575	omim:161900
DB00575	omim:608622
DB00575	omim:601042
DB00575	omim:143465
DB00575	omim:102300
DB00575	omim:607554
DB00575	omim:137580
DB00575	omim:144110
DB00575	omim:171300
DB00343	omim:161900
DB00343	omim:608622
DB00343	omim:607554
DB00343	omim:608583
DB00343	omim:179600
DB00590	omim:600082
DB00590	omim:147530
DB00590	omim:200170
DB00590	omim:161900
DB00590	omim:608622
DB00590	omim:179600
DB00584	omim:146255
DB00584	omim:608622
DB00876	omim:161900
DB00876	omim:608622
DB00187	omim:161900
DB00187	omim:608622
DB01023	omim:161900
DB01023	omim:608622
DB01023	omim:179600
DB00492	omim:146255
DB00492	omim:161900
DB00492	omim:608622
DB01018	omim:161900
DB01018	omim:608622
DB01018	omim:143465
DB01275	omim:161900
DB01275	omim:608622
DB01275	omim:145500
DB01029	omim:146255
DB01029	omim:161900
DB01029	omim:608622
DB01029	omim:125850
DB01029	omim:125851
DB01029	omim:125853
DB01029	omim:600496
DB00270	omim:161900
DB00270	omim:608622
DB00270	omim:179600
DB00598	omim:157700
DB00598	omim:161900
DB00598	omim:608622
DB00598	omim:110100
DB00598	omim:171300
DB00722	omim:146255
DB00722	omim:161900
DB00722	omim:608622
DB00722	omim:608320
DB00722	omim:125310
DB00678	omim:146255
DB00678	omim:161900
DB00678	omim:608622
DB00678	omim:145500
DB00657	omim:161900
DB00657	omim:608622
DB00657	omim:137580
DB00657	omim:145500
DB00968	omim:161900
DB00968	omim:608622
DB00350	omim:161900
DB00350	omim:608622
DB00350	omim:104130
DB00691	omim:146255
DB00691	omim:161900
DB00691	omim:608622
DB01203	omim:157700
DB01203	omim:161900
DB01203	omim:608622
DB01203	omim:190310
DB01203	omim:110100
DB01203	omim:190300
DB04861	omim:157700
DB04861	omim:161900
DB04861	omim:608622
DB04861	omim:110100
DB00622	omim:161900
DB00622	omim:608622
DB01115	omim:161900
DB01115	omim:608622
DB01115	omim:179600
DB00393	omim:601367
DB00393	omim:125310
DB00401	omim:161900
DB00401	omim:608622
DB00401	omim:179600
DB00325	omim:161900
DB00325	omim:608622
DB00275	omim:161900
DB00275	omim:608622
DB01359	omim:161900
DB01359	omim:608622
DB00790	omim:146255
DB00790	omim:608320
DB00790	omim:125310
DB00925	omim:171300
DB00692	omim:161900
DB00692	omim:608622
DB00692	omim:171300
DB00692	omim:155100
DB00692	omim:231200
DB00692	omim:273800
DB00960	omim:161900
DB00960	omim:608622
DB00457	omim:600082
DB00457	omim:147530
DB00457	omim:200170
DB00457	omim:161900
DB00457	omim:608622
DB00457	omim:179600
DB00457	omim:157950
DB00881	omim:146255
DB00881	omim:161900
DB00881	omim:608622
DB00178	omim:146255
DB00178	omim:161900
DB00178	omim:608622
DB00206	omim:161900
DB00206	omim:608622
DB00489	omim:607554
DB00489	omim:608583
DB00421	omim:604416
DB00421	omim:161900
DB00421	omim:608622
DB00421	omim:208300
DB00421	omim:215140
DB00421	omim:600351
DB00421	omim:104130
DB00966	omim:161900
DB00966	omim:608622
DB00966	omim:145500
DB01162	omim:600082
DB01162	omim:147530
DB01162	omim:200170
DB01162	omim:161900
DB01162	omim:608622
DB01162	omim:144110
DB01162	omim:157950
DB00519	omim:146255
DB00519	omim:161900
DB00519	omim:608622
DB00384	omim:208300
DB00384	omim:215140
DB00384	omim:600351
DB00384	omim:210050
DB00384	omim:203700
DB00177	omim:161900
DB00177	omim:608622
DB00661	omim:200170
DB00661	omim:161900
DB00661	omim:608622
DB00661	omim:157300
DB00661	omim:115000
DB00661	omim:607554
DB00661	omim:608583
DB00661	omim:115195
DB01076	omim:144010
DB01095	omim:144010
DB00227	omim:144010
DB00227	omim:608320
DB00175	omim:144010
DB00175	omim:601367
DB01098	omim:144010
DB00641	omim:144010
DB00284	omim:125850
DB00284	omim:125851
DB00284	omim:125853
DB00284	omim:600496
DB01200	omim:168100
DB00491	omim:125850
DB00491	omim:125851
DB00491	omim:125853
DB00491	omim:600496
DB01261	omim:125850
DB01261	omim:125851
DB01261	omim:125853
DB01261	omim:600496
DB00819	omim:217200
DB00819	omim:239350
DB00819	omim:215140
DB00819	omim:600351
DB00819	omim:147480
DB00819	omim:243200
DB01118	omim:115000
DB00559	omim:161900
DB00559	omim:178600
DB01394	omim:249100
DB00390	omim:607554
DB00390	omim:608583
DB00204	omim:115000
DB00204	omim:607554
DB00204	omim:608583
DB01320	omim:217200
DB01320	omim:239350
DB01233	omim:157300
DB01233	omim:109350
DB00745	omim:126200
DB00745	omim:143465
DB00745	omim:136200
DB00745	omim:107650
DB00338	omim:109350
DB00338	omim:190310
DB00338	omim:600263
DB00338	omim:304790
DB01083	omim:264120
