"drugid","name","atc"
"DB00249","Idoxuridine","D06BB01"
"DB00250","Dapsone","D10AX05"
"DB00251","Terconazole","G01AG02"
"DB00252","Phenytoin","N03AB02"
"DB00253","Medrysone","S01BA08"
"DB00254","Doxycycline","A01AB22"
"DB00255","Diethylstilbestrol","G03CB02"
"DB00256","Lymecycline","J01AA04"
"DB00257","Clotrimazole","A01AB18"
"DB00259","Sulfanilamide","D06BA05"
"DB00260","Cycloserine","J04AB01"
"DB00261","Anagrelide","L01XX35"
"DB00262","Carmustine","L01AD01"
"DB00263","Sulfisoxazole","J01EB05"
"DB00264","Metoprolol","C07AB02"
"DB00266","Dicoumarol","B01AA01"
"DB00267","Cefmenoxime","J01DD05"
"DB00268","Ropinirole","N04BC04"
"DB00270","Isradipine","C08CA03"
"DB00271","Diatrizoate","V08AA01"
"DB00272","Betazole","V04CG02"
"DB00273","Topiramate","N03AX11"
"DB00274","Cefmetazole","J01DC09"
"DB00275","Olmesartan","C09CA08"
"DB00276","Amsacrine","L01XX01"
"DB00277","Theophylline","R03DA04"
"DB00278","Argatroban","B01AE03"
"DB00280","Disopyramide","C01BA03"
"DB00281","Lidocaine","C01BB01"
"DB00282","Pamidronate","M05BA03"
"DB00283","Clemastine","D04AA14"
"DB00284","Acarbose","A10BF01"
"DB00285","Venlafaxine","N06AX16"
"DB00286","ConjugatedEstrogens","G03CA57"
"DB00287","Travoprost","S01EE04"
"DB00288","Amcinonide","D07AC11"
"DB00289","Atomoxetine","N06BA09"
"DB00290","Bleomycin","L01DC01"
"DB00291","Chlorambucil","L01AA02"
"DB00292","Etomidate","N01AX07"
"DB00293","Raltitrexed","L01BA03"
"DB00294","Etonogestrel","G03AC08"
"DB00295","Morphine","N02AA01"
"DB00296","Ropivacaine","N01BB09"
"DB00297","Bupivacaine","N01BB01"
"DB00298","Dapiprazole","S01EX02"
"DB00299","Penciclovir","D06BB06"
"DB00301","Flucloxacillin","J01CF05"
"DB00302","TranexamicAcid","B02AA02"
"DB00303","Ertapenem","J01DH03"
"DB00304","Desogestrel","G03AC09"
"DB00305","Mitomycin","L01DC03"
"DB00306","Talbutal","N05CA07"
"DB00307","Bexarotene","L01XX25"
"DB00308","Ibutilide","C01BD05"
"DB00309","Vindesine","L01CA03"
"DB00310","Chlorthalidone","C03BA04"
"DB00312","Pentobarbital","N05CA01"
"DB00313","ValproicAcid","N03AG01"
"DB00314","Capreomycin","J04AB30"
"DB00315","Zolmitriptan","N02CC03"
"DB00316","Acetaminophen","N02BE01"
"DB00317","Gefitinib","L01XE02"
"DB00318","Codeine","R05DA04"
"DB00319","Piperacillin","J01CA12"
"DB00320","Dihydroergotamine","N02CA01"
"DB00321","Amitriptyline","N06AA09"
"DB00323","Tolcapone","N04BX01"
"DB00324","Fluorometholone","C05AA06"
"DB00325","Nitroprusside","C02DD01"
"DB00326","CalciumGluceptate","A12AA10"
"DB00327","Hydromorphone","N02AA03"
"DB00328","Indomethacin","C01EB03"
"DB00330","Ethambutol","J04AK02"
"DB00331","Metformin","A10BA02"
"DB00332","Ipratropiumbromide","R01AX03"
"DB00333","Methadone","N07BC02"
"DB00334","Olanzapine","N05AH03"
"DB00335","Atenolol","C07AB03"
"DB00336","Nitrofural","B05CA03"
"DB00337","Pimecrolimus","D11AH02"
"DB00338","Omeprazole","A02BC01"
"DB00339","Pyrazinamide","J04AK01"
"DB00340","Metixene","N04AA03"
"DB00341","Cetirizine","R06AE07"
"DB00343","Diltiazem","C05AE03"
"DB00344","Protriptyline","N06AA11"
"DB00345","Aminohippurate","V04CH30"
"DB00346","Alfuzosin","G04CA01"
"DB00347","Trimethadione","N03AC02"
"DB00348","Nitisinone","A16AX04"
"DB00349","Clobazam","N05BA09"
"DB00350","Minoxidil","C02DC01"
"DB00352","Tioguanine","L01BB03"
"DB00353","Methylergometrine","G02AB01"
"DB00354","Buclizine","R06AE01"
"DB00355","Aztreonam","J01DF01"
"DB00356","Chlorzoxazone","M03BB03"
"DB00357","Aminoglutethimide","L02BG01"
"DB00358","Mefloquine","P01BC02"
"DB00359","Sulfadiazine","J01EC02"
"DB00360","Tetrahydrobiopterin","A16AX07"
"DB00361","Vinorelbine","L01CA04"
"DB00362","Anidulafungin","J02AX06"
"DB00363","Clozapine","N05AH02"
"DB00364","Sucralfate","A02BX02"
"DB00366","Doxylamine","R06AA09"
"DB00367","Levonorgestrel","G03AC03"
"DB00368","Norepinephrine","C01CA03"
"DB00369","Cidofovir","J05AB12"
"DB00370","Mirtazapine","N06AX11"
"DB00371","Meprobamate","N05BC01"
"DB00373","Timolol","C07AA06"
"DB00374","Treprostinil","B01AC21"
"DB00375","Colestipol","C10AC02"
"DB00376","Trihexyphenidyl","N04AA01"
"DB00377","Palonosetron","A04AA05"
"DB00378","Dydrogesterone","G03DB01"
"DB00379","Mexiletine","C01BB02"
"DB00380","Dexrazoxane","V03AF02"
"DB00381","Amlodipine","C08CA01"
"DB00383","Oxyphencyclimine","A03AA01"
"DB00384","Triamterene","C03DB02"
"DB00385","Valrubicin","L01DB09"
"DB00387","Procyclidine","N04AA04"
"DB00388","Phenylephrine","C01CA06"
"DB00389","Carbimazole","H03BB01"
"DB00390","Digoxin","C01AA05"
"DB00391","Sulpiride","N05AL01"
"DB00392","Ethopropazine","N04AA05"
"DB00393","Nimodipine","C08CA06"
"DB00394","Beclomethasone","A07EA07"
"DB00395","Carisoprodol","M03BA02"
"DB00396","Progesterone","G03DA04"
"DB00397","Phenylpropanolamine","R01BA01"
"DB00398","Sorafenib","L01XE05"
"DB00399","Zoledronate","M05BA08"
"DB00400","Griseofulvin","D01AA08"
"DB00401","Nisoldipine","C08CA07"
"DB00402","Eszopiclone","N05CF04"
"DB00403","Ceruletide","V04CC04"
"DB00404","Alprazolam","N05BA12"
"DB00405","Dexbrompheniramine","R06AB06"
"DB00408","Loxapine","N05AH01"
"DB00409","Remoxipride","N05AL04"
"DB00410","Mupirocin","D06AX09"
"DB00411","Carbachol","N07AB01"
"DB00412","Rosiglitazone","A10BG02"
"DB00413","Pramipexole","N04BC05"
"DB00415","Ampicillin","J01CA01"
"DB00417","PenicillinV","J01CE02"
"DB00418","Secobarbital","N05CA06"
"DB00419","Miglustat","A16AX06"
"DB00420","Promazine","N05AA03"
"DB00421","Spironolactone","C03DA01"
"DB00422","Methylphenidate","N06BA04"
"DB00423","Methocarbamol","M03BA03"
"DB00424","Hyoscyamine","A03BA03"
"DB00425","Zolpidem","N05CF02"
"DB00426","Famciclovir","J05AB09"
"DB00427","Triprolidine","R06AX07"
"DB00428","Streptozocin","L01AD04"
"DB00429","CarboprostTromethamine","G02AD04"
"DB00430","Cefpiramide","J01DD11"
"DB00431","Lindane","P03AB02"
"DB00432","Trifluridine","S01AD02"
"DB00433","Prochlorperazine","N05AB04"
"DB00434","Cyproheptadine","R06AX02"
"DB00435","NitricOxide","R07AX01"
"DB00436","Bendroflumethiazide","C03AA01"
"DB00437","Allopurinol","M04AA01"
"DB00438","Ceftazidime","J01DD02"
"DB00440","Trimethoprim","J01EA01"
"DB00441","Gemcitabine","L01BC05"
"DB00442","Entecavir","J05AF10"
"DB00443","Betamethasone","A07EA04"
"DB00444","Teniposide","L01CB02"
"DB00445","Epirubicin","L01DB03"
"DB00446","Chloramphenicol","D06AX02"
"DB00448","Lansoprazole","A02BC03"
"DB00450","Droperidol","N05AD08"
"DB00452","Framycetin","D09AA01"
"DB00453","Clomocycline","J01AA11"
"DB00454","Pethidine","N02AB02"
"DB00455","Loratadine","R06AX13"
"DB00456","Cefalotin","J01DB03"
"DB00457","Prazosin","C02CA01"
"DB00458","Imipramine","N06AA02"
"DB00459","Acitretin","D05BB02"
"DB00460","Verteporfin","S01LA01"
"DB00461","Nabumetone","M01AX01"
"DB00464","SodiumTetradecylSulfate","C05BB04"
"DB00465","Ketorolac","M01AB15"
"DB00467","Enoxacin","J01MA04"
"DB00468","Quinine","P01BC01"
"DB00469","Tenoxicam","M01AC02"
"DB00470","Dronabinol","A04AD10"
"DB00471","Montelukast","R03DC03"
"DB00472","Fluoxetine","N06AB03"
"DB00474","Methohexital","N01AF01"
"DB00475","Chlordiazepoxide","N05BA02"
"DB00476","Duloxetine","N06AX21"
"DB00477","Chlorpromazine","N05AA01"
"DB00478","Rimantadine","J05AC02"
"DB00479","Amikacin","D06AX12"
"DB00480","Lenalidomide","L04AX04"
"DB00481","Raloxifene","G03XC01"
"DB00482","Celecoxib","L01XX33"
"DB00484","Brimonidine","D11AX21"
"DB00485","Dicloxacillin","J01CF01"
"DB00486","Nabilone","A04AD11"
"DB00487","Pefloxacin","J01MA03"
"DB00488","Altretamine","L01XX03"
"DB00489","Sotalol","C07AA07"
"DB00490","Buspirone","N05BE01"
"DB00491","Miglitol","A10BF02"
"DB00492","Fosinopril","C09AA09"
"DB00493","Cefotaxime","J01DD01"
"DB00494","Entacapone","N04BX02"
"DB00495","Zidovudine","J05AF01"
"DB00496","Darifenacin","G04BD10"
"DB00497","Oxycodone","N02AA05"
"DB00498","Phenindione","B01AA02"
"DB00499","Flutamide","L02BB01"
"DB00500","Tolmetin","M01AB03"
"DB00501","Cimetidine","A02BA01"
"DB00502","Haloperidol","N05AD01"
"DB00503","Ritonavir","J05AE03"
"DB00507","Nitazoxanide","P01AX11"
"DB00508","Triflupromazine","N05AA05"
"DB00509","Dextrothyroxine","C10AX01"
"DB00511","Acetyldigitoxin","C01AA01"
"DB00512","Vancomycin","A07AA09"
"DB00513","AminocaproicAcid","B02AA01"
"DB00514","Dextromethorphan","R05DA09"
"DB00515","Cisplatin","L01XA01"
"DB00518","Albendazole","P02CA03"
"DB00519","Trandolapril","C09AA10"
"DB00520","Caspofungin","J02AX04"
"DB00521","Carteolol","C07AA15"
"DB00523","Alitretinoin","D11AH04"
"DB00524","Metolazone","C03BA08"
"DB00525","Tolnaftate","D01AE18"
"DB00526","Oxaliplatin","L01XA03"
"DB00527","Cinchocaine","C05AD04"
"DB00528","Lercanidipine","C08CA13"
"DB00529","Foscarnet","J05AD01"
"DB00530","Erlotinib","L01XE03"
"DB00531","Cyclophosphamide","L01AA01"
"DB00532","Mephenytoin","N03AB04"
"DB00533","Rofecoxib","M01AH02"
"DB00535","Cefdinir","J01DD15"
"DB00537","Ciprofloxacin","J01MA02"
"DB00538","Gadoversetamide","V08CA06"
"DB00539","Toremifene","L02BA02"
"DB00540","Nortriptyline","N06AA10"
"DB00541","Vincristine","L01CA02"
"DB00542","Benazepril","C09AA07"
"DB00543","Amoxapine","N06AA17"
"DB00544","Fluorouracil","L01BC02"
"DB00545","Pyridostigmine","N07AA02"
"DB00546","Adinazolam","N05BA07"
"DB00547","Desoximetasone","D07AC03"
"DB00548","AzelaicAcid","D10AX03"
"DB00549","Zafirlukast","R03DC01"
"DB00550","Propylthiouracil","H03BA02"
"DB00551","AcetohydroxamicAcid","G04BX03"
"DB00552","Pentostatin","L01XX08"
"DB00553","Methoxsalen","D05AD02"
"DB00554","Piroxicam","M01AC01"
"DB00555","Lamotrigine","N03AX09"
"DB00557","Hydroxyzine","N05BB01"
"DB00558","Zanamivir","J05AH01"
"DB00559","Bosentan","C02KX01"
"DB00560","Tigecycline","J01AA12"
"DB00561","Doxapram","R07AB01"
"DB00563","Methotrexate","L01BA01"
"DB00564","Carbamazepine","N03AF01"
"DB00567","Cephalexin","J01DB01"
"DB00568","Cinnarizine","N07CA02"
"DB00570","Vinblastine","L01CA01"
"DB00571","Propranolol","C07AA05"
"DB00572","Atropine","A03BA01"
"DB00573","Fenoprofen","M01AE04"
"DB00575","Clonidine","C02AC01"
"DB00576","Sulfamethizole","B05CA04"
"DB00577","Valaciclovir","J05AB11"
"DB00578","Carbenicillin","J01CA03"
"DB00579","Mazindol","A08AA05"
"DB00580","Valdecoxib","M01AH03"
"DB00581","Lactulose","A06AD11"
"DB00582","Voriconazole","J02AC03"
"DB00584","Enalapril","C09AA02"
"DB00585","Nizatidine","A02BA04"
"DB00586","Diclofenac","D11AX18"
"DB00588","FluticasonePropionate","D07AC17"
"DB00589","Lisuride","G02CB02"
"DB00590","Doxazosin","C02CA04"
"DB00591","FluocinoloneAcetonide","C05AA10"
"DB00592","Piperazine","P02CB01"
"DB00593","Ethosuximide","N03AD01"
"DB00594","Amiloride","C03DB01"
"DB00595","Oxytetracycline","D06AA03"
"DB00596","HalobetasolPropionate","D07AC21"
"DB00597","Gadoteridol","V08CA04"
"DB00598","Labetalol","C07AG01"
"DB00599","Thiopental","N01AF03"
"DB00600","Monobenzone","D11AX13"
"DB00601","Linezolid","J01XX08"
"DB00602","Ivermectin","D11AX22"
"DB00604","Cisapride","A03FA02"
"DB00605","Sulindac","M01AB02"
"DB00606","Cyclothiazide","C03AA09"
"DB00607","Nafcillin","J01CF06"
"DB00608","Chloroquine","P01BA01"
"DB00609","Ethionamide","J04AD03"
"DB00610","Metaraminol","C01CA09"
"DB00611","Butorphanol","N02AF01"
"DB00612","Bisoprolol","C07AB07"
"DB00613","Amodiaquine","P01BA06"
"DB00614","Furazolidone","G01AX06"
"DB00615","Rifabutin","J04AB04"
"DB00617","Paramethadione","N03AC01"
"DB00618","Demeclocycline","D06AA01"
"DB00619","Imatinib","L01XE01"
"DB00620","Triamcinolone","A01AC01"
"DB00621","Oxandrolone","A14AA08"
"DB00622","Nicardipine","C08CA04"
"DB00623","Fluphenazine","N05AB02"
"DB00624","Testosterone","G03BA03"
"DB00625","Efavirenz","J05AG03"
"DB00626","Bacitracin","D06AX05"
"DB00627","Niacin","C04AC01"
"DB00630","Alendronate","M05BA04"
"DB00631","Clofarabine","L01BB06"
"DB00632","Docosanol","D06BB11"
"DB00633","Dexmedetomidine","N05CM18"
"DB00634","Sulfacetamide","D10AF06"
"DB00635","Prednisone","A07EA03"
"DB00636","Clofibrate","C10AB01"
"DB00637","Astemizole","R06AX11"
"DB00639","Butoconazole","G01AF15"
"DB00640","Adenosine","C01EB10"
"DB00641","Simvastatin","C10AA01"
"DB00642","Pemetrexed","L01BA04"
"DB00643","Mebendazole","P02CA01"
"DB00644","Gonadorelin","H01CA01"
"DB00645","Dyclonine","N01BX02"
"DB00646","Nystatin","A07AA02"
"DB00647","Dextropropoxyphene","N02AC04"
"DB00648","Mitotane","L01XX23"
"DB00649","Stavudine","J05AF04"
"DB00651","Dyphylline","R03DA01"
"DB00652","Pentazocine","N02AD01"
"DB00653","MagnesiumSulfate","A06AD04"
"DB00654","Latanoprost","S01EE01"
"DB00655","Estrone","G03CA07"
"DB00656","Trazodone","N06AX05"
"DB00657","Mecamylamine","C02BB01"
"DB00658","Sevelamer","V03AE02"
"DB00659","Acamprosate","N07BB03"
"DB00661","Verapamil","C08DA01"
"DB00662","Trimethobenzamide","R06AA10"
"DB00664","Sulfametopyrazine","J01ED02"
"DB00665","Nilutamide","L02BB02"
"DB00666","Nafarelin","H01CA02"
"DB00667","HistaminePhosphate","V04CG03"
"DB00668","Epinephrine","S01EA01"
"DB00669","Sumatriptan","N02CC01"
"DB00670","Pirenzepine","A02BX03"
"DB00671","Cefixime","J01DD08"
"DB00672","Chlorpropamide","A10BB02"
"DB00673","Aprepitant","A04AD12"
"DB00674","Galantamine","N06DA04"
"DB00675","Tamoxifen","L02BA01"
"DB00676","BenzylBenzoate","P03AX01"
"DB00678","Losartan","C09CA01"
"DB00679","Thioridazine","N05AC02"
"DB00680","Moricizine","C01BG01"
"DB00681","AmphotericinB","A01AB04"
"DB00682","Warfarin","B01AA03"
"DB00683","Midazolam","N05CD08"
"DB00684","Tobramycin","J01GB01"
"DB00685","Trovafloxacin","J01MA13"
"DB00687","Fludrocortisone","H02AA02"
"DB00690","Flurazepam","N05CD01"
"DB00691","Moexipril","C09AA13"
"DB00692","Phentolamine","C04AB01"
"DB00693","Fluorescein","S01JA01"
"DB00694","Daunorubicin","L01DB02"
"DB00695","Furosemide","C03CA01"
"DB00696","Ergotamine","N02CA02"
"DB00697","Tizanidine","M03BX02"
"DB00698","Nitrofurantoin","J01XE01"
"DB00699","Nicergoline","C04AE02"
"DB00700","Eplerenone","C03DA04"
"DB00701","Amprenavir","J05AE05"
"DB00703","Methazolamide","S01EC05"
"DB00704","Naltrexone","N07BB04"
"DB00705","Delavirdine","J05AG02"
"DB00706","Tamsulosin","G04CA02"
"DB00708","Sufentanil","N01AH03"
"DB00709","Lamivudine","J05AF05"
"DB00710","Ibandronate","M05BA06"
"DB00711","Diethylcarbamazine","P02CB02"
"DB00712","Flurbiprofen","M01AE09"
"DB00713","Oxacillin","J01CF04"
"DB00714","Apomorphine","G04BE07"
"DB00715","Paroxetine","N06AB05"
"DB00716","Nedocromil","R01AC07"
"DB00717","Norethindrone","G03AC01"
"DB00718","AdefovirDipivoxil","J05AF08"
"DB00719","Azatadine","R06AX09"
"DB00721","Procaine","C05AD05"
"DB00722","Lisinopril","C09AA03"
"DB00723","Methoxamine","C01CA10"
"DB00724","Imiquimod","D06BB10"
"DB00726","Trimipramine","N06AA06"
"DB00727","Nitroglycerin","C01DA02"
"DB00730","Thiabendazole","D01AC06"
"DB00731","Nateglinide","A10BX03"
"DB00732","Atracurium","M03AC04"
"DB00733","Pralidoxime","V03AB04"
"DB00734","Risperidone","N05AX08"
"DB00735","Naftifine","D01AE22"
"DB00736","Esomeprazole","A02BC05"
"DB00737","Meclizine","R06AE05"
"DB00739","Hetacillin","J01CA18"
"DB00740","Riluzole","N07XX02"
"DB00741","Hydrocortisone","A01AC03"
"DB00742","Mannitol","A06AD16"
"DB00743","GadobenateDimeglumine","V08CA08"
"DB00745","Modafinil","N06BA07"
"DB00746","Deferoxamine","V03AC01"
"DB00747","Scopolamine","A04AD01"
"DB00748","Carbinoxamine","R06AA08"
"DB00749","Etodolac","M01AB08"
"DB00750","Prilocaine","N01BB04"
"DB00751","Epinastine","R06AX24"
"DB00752","Tranylcypromine","N06AF04"
"DB00753","Isoflurane","N01AB06"
"DB00754","Ethotoin","N03AB01"
"DB00755","Tretinoin","D10AD01"
"DB00756","Hexachlorophene","D08AE01"
"DB00757","Dolasetron","A04AA04"
"DB00758","Clopidogrel","B01AC04"
"DB00759","Tetracycline","A01AB13"
"DB00760","Meropenem","J01DH02"
"DB00761","PotassiumChloride","A12BA01"
"DB00762","Irinotecan","L01XX19"
"DB00763","Methimazole","H03BB02"
"DB00764","Mometasone","D07AC13"
"DB00765","Metyrosine","C02KB01"
"DB00768","Olopatadine","R01AC08"
"DB00770","Alprostadil","C01EA01"
"DB00772","Malathion","P03AX03"
"DB00773","Etoposide","L01CB01"
"DB00774","Hydroflumethiazide","C03AA02"
"DB00775","Tirofiban","B01AC17"
"DB00776","Oxcarbazepine","N03AF02"
"DB00777","Propiomazine","N05CM06"
"DB00778","Roxithromycin","J01FA06"
"DB00779","NalidixicAcid","J01MB02"
"DB00780","Phenelzine","N06AF03"
"DB00781","PolymyxinBSulfate","A07AA05"
"DB00782","Propantheline","A03AB05"
"DB00783","Estradiol","G03CA03"
"DB00784","Mefenamicacid","M01AG01"
"DB00787","Aciclovir","D06BB03"
"DB00788","Naproxen","G02CC02"
"DB00790","Perindopril","C09AA04"
"DB00792","Tripelennamine","D04AA04"
"DB00793","Haloprogin","D01AE11"
"DB00794","Primidone","N03AA03"
"DB00795","Sulfasalazine","A07EC01"
"DB00796","Candesartan","C09CA06"
"DB00797","Tolazoline","C04AB02"
"DB00798","Gentamicin","D06AX07"
"DB00799","Tazarotene","D05AX05"
"DB00800","Fenoldopam","C01CA19"
"DB00801","Halazepam","N05BA13"
"DB00802","Alfentanil","N01AH02"
"DB00803","Colistin","A07AA10"
"DB00804","Dicyclomine","A03AA07"
"DB00805","Minaprine","N06AX07"
"DB00806","Pentoxifylline","C04AD03"
"DB00807","Proparacaine","S01HA04"
"DB00808","Indapamide","C03BA11"
"DB00809","Tropicamide","S01FA06"
"DB00810","Biperiden","N04AA02"
"DB00811","Ribavirin","J05AB04"
"DB00812","Phenylbutazone","M01AA01"
"DB00813","Fentanyl","N01AH01"
"DB00814","Meloxicam","M01AC06"
"DB00816","Orciprenaline","R03AB03"
"DB00817","Rosoxacin","J01MB01"
"DB00818","Propofol","N01AX10"
"DB00819","Acetazolamide","S01EC01"
"DB00820","Tadalafil","G04BE08"
"DB00822","Disulfiram","N07BB01"
"DB00823","Ethynodiol","G03DC06"
"DB00826","Natamycin","A01AB10"
"DB00827","Cinoxacin","J01MB06"
"DB00828","Fosfomycin","J01XX01"
"DB00829","Diazepam","N05BA01"
"DB00831","Trifluoperazine","N05AB06"
"DB00832","Phensuximide","N03AD02"
"DB00833","Cefaclor","J01DC04"
"DB00834","Mifepristone","G03XB01"
"DB00835","Brompheniramine","R06AB01"
"DB00836","Loperamide","A07DA03"
"DB00837","Progabide","N03AG05"
"DB00838","Clocortolone","D07AB21"
"DB00839","Tolazamide","A10BB05"
"DB00841","Dobutamine","C01CA07"
"DB00842","Oxazepam","N05BA04"
"DB00843","Donepezil","N06DA02"
"DB00844","Nalbuphine","N02AF02"
"DB00845","Clofazimine","J04BA01"
"DB00846","Flurandrenolide","D07AC07"
